account_id,customer_id,account_type,open_date,current_balance,account_status
500136,100117,Salary,2022-11-28,16427,Active
500137,100118,Current,2023-10-07,19904,Inactive
500138,100119,Savings,2023-08-22,17199,Frozen
500139,100120,Savings,2022-04-30,47724,Active
500140,100121,Salary,2023-02-20,5347,Active
500141,100122,Savings,2023-01-14,14491,Active
500142,100123,Savings,2024-01-10,3521,Active
500143,100124,Savings,2022-04-14,5579,Active
500144,100125,Current,2023-10-01,22706,Active
500145,100126,Salary,2022-11-03,12733,Active
500146,100127,Savings,2023-06-30,12973,Active
500147,100128,Savings,2022-08-07,9865,Active
500148,100129,Salary,2022-01-24,42009,Active
500149,100130,Savings,2023-03-31,66796,Active
500150,100131,Savings,2023-01-20,72588,Active
500151,100132,Savings,2022-12-16,22213,Active
500152,100133,Salary,2023-08-05,14019,Active
500153,100134,Savings,2023-10-23,42334,Active
500154,100135,Current,2022-02-16,41193,Active
500155,100136,Savings,2022-06-23,31082,Active
500156,100136,Savings,2023-09-03,21767,Active
500157,100137,Savings,2023-06-24,12447,Active
500158,100137,Savings,2023-06-28,17235,Active
500159,100138,Savings,2022-10-18,6535,Active
500160,100139,Savings,2024-03-02,5805,Active
500161,100140,Savings,2024-02-12,14278,Active
500162,100141,Savings,2023-02-12,43595,Active
500163,100142,Salary,2022-03-17,15903,Active
500164,100142,Savings,2024-01-07,35803,Active
500165,100143,Savings,2023-06-20,23948,Active
500166,100143,Salary,2023-04-25,41013,Active
500167,100144,Savings,2023-12-25,58462,Active
500168,100144,Current,2023-04-12,11238,Active
500169,100145,Savings,2022-06-08,46786,Active
500170,100145,Savings,2023-11-15,175320,Active
500171,100146,Current,2023-11-30,57658,Active
500172,100147,Savings,2022-05-21,23117,Inactive
500173,100148,Savings,2022-04-27,13383,Active
500174,100149,Savings,2023-01-03,9945,Active
500175,100150,Current,2023-12-17,40020,Active
500176,100151,Current,2022-07-14,26976,Inactive
500177,100152,Current,2022-07-20,17952,Active
500178,100153,Savings,2022-10-05,31327,Active
500179,100154,Savings,2022-08-16,10143,Active
500180,100155,Savings,2023-11-24,6084,Active
500181,100156,Salary,2023-05-11,20466,Active
500182,100157,Savings,2024-02-02,8865,Active
500183,100158,Salary,2023-04-04,13849,Active
500184,100158,Current,2024-02-27,3723,Active
500185,100159,Current,2023-02-04,33907,Active
500186,100160,Current,2023-09-03,44104,Active
500187,100161,Current,2022-07-08,9090,Active
500188,100162,Savings,2022-11-28,21586,Active
500189,100163,Savings,2023-05-12,27243,Active
500190,100164,Salary,2022-01-10,22032,Active
500191,100165,Current,2022-03-25,19610,Active
500192,100166,Current,2022-12-02,60120,Active
500193,100167,Savings,2024-01-14,47403,Active
500194,100168,Savings,2023-03-28,5539,Active
500195,100168,Salary,2023-12-05,19978,Inactive
500196,100169,Salary,2022-11-09,13058,Active
500197,100170,Salary,2024-01-18,3495,Active
500198,100171,Savings,2023-01-10,40223,Active
500199,100172,Savings,2024-03-26,13312,Active
500200,100173,Salary,2023-07-08,19622,Active
500201,100174,Savings,2022-04-02,46422,Active
500202,100175,Savings,2022-01-23,51048,Active
500203,100175,Savings,2022-06-12,18010,Active
500204,100176,Current,2024-04-03,27328,Active
500205,100176,Savings,2022-11-09,23646,Active
500206,100177,Savings,2024-01-25,36554,Active
500207,100178,Savings,2023-11-01,53091,Active
500208,100179,Current,2022-09-09,14939,Active
500209,100180,Salary,2022-12-13,45788,Active
500210,100181,Savings,2022-12-07,63037,Active
500211,100182,Savings,2024-01-09,50986,Active
500212,100183,Savings,2024-02-15,27991,Active
500213,100184,Salary,2024-04-05,96486,Active
500214,100185,Savings,2023-07-09,8877,Active
500215,100186,Current,2024-04-01,22159,Active
500216,100187,Salary,2022-09-09,35183,Active
500217,100187,Salary,2023-01-20,17286,Active
500218,100188,Savings,2023-06-26,20020,Active
500219,100189,Savings,2022-11-12,63713,Active
500220,100189,Savings,2022-06-09,29390,Active
500221,100190,Savings,2023-04-15,8005,Active
500222,100191,Salary,2022-11-17,17855,Active
500223,100192,Savings,2022-08-30,36358,Active
500224,100193,Savings,2023-03-29,30566,Active
500225,100194,Savings,2024-02-15,4043,Inactive
500226,100195,Salary,2023-07-18,28967,Active
500227,100196,Salary,2022-12-17,16060,Active
500228,100197,Savings,2022-08-15,9212,Active
500229,100198,Savings,2024-03-28,23472,Active
500230,100199,Savings,2022-10-09,45114,Active
500231,100200,Salary,2022-01-12,73753,Active
500232,100201,Savings,2022-09-10,30170,Active
500233,100201,Current,2022-06-11,29276,Active
500234,100202,Savings,2024-04-09,31616,Active
500235,100203,Salary,2022-09-30,11411,Active
500236,100204,Savings,2022-07-02,15358,Active
500237,100205,Salary,2024-04-21,10941,Active
500238,100205,Savings,2023-09-22,6667,Active
500239,100206,Savings,2023-04-25,15500,Active
500240,100207,Savings,2023-06-03,28936,Active
500241,100208,Savings,2023-11-30,3791,Active
500242,100209,Savings,2023-07-11,50524,Active
500243,100209,Savings,2022-11-15,21114,Active
500244,100210,Savings,2023-04-24,22839,Active
500245,100211,Savings,2022-05-24,47612,Active
500246,100212,Savings,2024-03-14,4883,Active
500247,100213,Savings,2023-01-22,22446,Active
500248,100214,Savings,2022-04-27,22031,Active
500249,100215,Salary,2024-03-29,20441,Active
500250,100216,Savings,2023-10-05,19286,Active
500251,100216,Savings,2022-11-02,11952,Inactive
500252,100217,Savings,2022-03-31,15188,Active
500253,100218,Current,2022-12-04,14613,Active
500254,100219,Savings,2023-10-18,18846,Active
500255,100220,Savings,2022-05-25,26318,Active
500256,100220,Savings,2023-10-08,18584,Active
500257,100221,Savings,2023-04-20,60269,Active
500258,100222,Savings,2022-06-10,169849,Frozen
500259,100223,Current,2022-12-16,58423,Inactive
500260,100224,Savings,2023-10-25,21780,Active
500261,100225,Current,2023-05-10,23754,Active
500262,100226,Savings,2023-02-15,29281,Active
500263,100227,Salary,2022-09-08,10230,Active
500264,100228,Savings,2022-12-05,53852,Active
500265,100229,Savings,2023-07-25,17747,Active
500266,100230,Salary,2024-04-24,55741,Active
500267,100231,Savings,2023-07-06,18370,Inactive
500268,100232,Savings,2023-05-28,6624,Active
500269,100233,Savings,2023-06-13,5934,Frozen
500270,100234,Salary,2023-08-04,33732,Inactive
500271,100235,Savings,2022-03-27,11148,Active
500272,100236,Savings,2022-12-08,30291,Active
500273,100237,Savings,2023-04-20,33107,Active
500274,100237,Savings,2024-01-18,6967,Active
500275,100238,Savings,2023-07-29,50090,Active
500276,100238,Salary,2022-06-22,21924,Inactive
500277,100239,Salary,2023-09-08,8230,Active
500278,100239,Salary,2022-01-04,18702,Active
500279,100240,Savings,2023-08-11,45938,Active
500280,100240,Savings,2023-09-04,4401,Active
500281,100241,Savings,2022-07-04,7992,Active
500282,100242,Salary,2022-05-22,28656,Active
500283,100242,Current,2024-01-26,23242,Inactive
500284,100243,Current,2024-02-21,22491,Active
500285,100244,Savings,2022-05-27,34432,Active
500286,100245,Savings,2022-12-11,5517,Active
500287,100246,Savings,2022-12-07,94174,Active
500288,100247,Current,2024-03-17,22240,Active
500289,100248,Current,2023-04-27,28352,Active
500290,100248,Salary,2023-12-07,27609,Active
500291,100249,Savings,2023-04-20,65970,Active
500292,100250,Savings,2023-03-21,9205,Active
500293,100250,Savings,2023-06-23,20137,Active
500294,100251,Savings,2022-01-25,8329,Active
500295,100252,Current,2023-03-20,17527,Active
500296,100253,Current,2022-11-09,15351,Active
500297,100254,Savings,2023-04-03,7588,Active
500298,100254,Salary,2022-02-23,30200,Active
500299,100255,Salary,2023-07-13,12341,Active
500300,100256,Savings,2022-03-12,31005,Frozen
500301,100257,Salary,2023-01-13,47002,Active
500302,100258,Salary,2022-08-16,60755,Active
500303,100259,Savings,2022-03-15,55900,Active
500304,100260,Savings,2023-07-05,23298,Active
500305,100261,Savings,2024-01-16,71322,Active
500306,100262,Savings,2023-04-06,38867,Active
500307,100263,Savings,2023-08-23,17688,Active
500308,100264,Savings,2022-11-18,76593,Active
500309,100265,Salary,2024-03-06,36519,Active
500310,100266,Savings,2023-12-11,32352,Active
500311,100267,Salary,2022-12-29,7507,Active
500312,100268,Current,2023-12-16,21122,Frozen
500313,100269,Current,2022-07-16,14055,Inactive
500314,100270,Current,2022-11-10,12111,Active
500315,100270,Savings,2022-10-08,6777,Active
500316,100271,Savings,2023-12-14,55332,Inactive
500317,100272,Savings,2022-06-23,46828,Active
500318,100273,Current,2022-07-21,20181,Active
500319,100274,Savings,2022-10-30,41387,Active
500320,100275,Current,2022-04-29,7904,Active
500321,100276,Savings,2022-07-04,7449,Active
500322,100277,Current,2022-04-03,83522,Active
500323,100278,Salary,2022-03-17,104888,Active
500324,100279,Savings,2022-10-19,4333,Active
500325,100280,Savings,2022-06-18,12453,Active
500326,100281,Savings,2022-10-13,21440,Active
500327,100282,Salary,2022-06-04,1874,Frozen
500328,100283,Savings,2024-02-08,51781,Active
500329,100284,Salary,2022-03-03,43646,Active
500330,100285,Current,2023-01-04,90595,Active
500331,100286,Savings,2022-10-26,79837,Active
500332,100287,Current,2023-06-18,108489,Active
500333,100287,Savings,2023-09-01,18481,Active
500334,100288,Current,2022-08-29,45615,Active
500335,100289,Savings,2024-01-04,36726,Active
500336,100290,Savings,2022-08-15,46354,Active
500337,100291,Savings,2022-07-27,6054,Active
500338,100292,Savings,2022-07-04,60057,Active
500339,100293,Current,2024-04-05,39596,Active
500340,100294,Savings,2024-03-28,8725,Active
500341,100295,Savings,2023-10-18,26130,Active
500342,100296,Savings,2022-05-30,69287,Active
500343,100297,Current,2024-04-19,4680,Active
500344,100298,Savings,2023-08-26,20339,Active
500345,100299,Savings,2023-01-23,21900,Active
500346,100300,Current,2024-04-30,64086,Active
500347,100301,Savings,2023-04-24,12939,Active
500348,100302,Salary,2022-02-13,22385,Active
500349,100303,Current,2022-05-18,12519,Active
500350,100304,Current,2022-02-10,26239,Active
500351,100305,Savings,2022-04-04,20376,Active
500352,100306,Savings,2022-03-20,28676,Inactive
500353,100307,Current,2024-01-22,28699,Active
500354,100308,Savings,2022-09-05,60289,Active
500355,100309,Savings,2022-11-13,22871,Active
500356,100310,Current,2022-02-10,29474,Active
500357,100310,Savings,2022-03-01,18409,Active
500358,100311,Salary,2023-08-28,62215,Inactive
500359,100312,Salary,2022-08-07,11117,Active
500360,100313,Savings,2022-12-22,21027,Active
500361,100314,Salary,2023-05-07,22360,Active
500362,100315,Savings,2022-11-12,13208,Active
500363,100316,Current,2022-07-05,23833,Active
500364,100317,Savings,2022-03-16,10943,Active
500365,100318,Salary,2023-09-28,1995,Active
500366,100319,Savings,2023-02-07,11892,Active
500367,100320,Savings,2022-04-16,49526,Active
500368,100321,Salary,2023-01-04,99294,Active
500369,100322,Salary,2022-05-03,10533,Active
500370,100323,Savings,2022-03-27,18557,Active
500371,100324,Savings,2023-06-16,38022,Active
500372,100325,Current,2023-05-16,65196,Active
500373,100326,Savings,2022-02-02,32077,Active
500374,100327,Savings,2023-12-12,5313,Active
500375,100328,Savings,2024-01-13,9694,Active
500376,100329,Salary,2022-10-15,15121,Active
500377,100330,Savings,2023-06-14,9202,Active
500378,100331,Savings,2022-12-20,8491,Active
500379,100332,Salary,2024-02-05,21297,Active
500380,100333,Salary,2024-01-31,4492,Active
500381,100334,Salary,2022-08-10,12002,Active
500382,100335,Savings,2024-03-04,34796,Active
500383,100336,Current,2022-04-03,40519,Active
500384,100337,Savings,2023-05-17,54683,Active
500385,100338,Savings,2022-10-14,27588,Active
500386,100339,Savings,2024-02-26,9310,Active
500387,100339,Current,2022-09-03,16493,Active
500388,100340,Salary,2024-04-03,7749,Active
500389,100341,Current,2023-07-21,29235,Active
500390,100342,Salary,2022-05-04,19353,Active
500391,100342,Savings,2023-02-19,13884,Active
500392,100343,Salary,2022-11-04,18535,Active
500393,100344,Savings,2022-01-25,34708,Active
500394,100345,Savings,2022-11-01,15988,Active
500395,100346,Savings,2023-04-26,33872,Active
500396,100347,Salary,2022-02-01,47005,Active
500397,100348,Current,2023-10-05,32001,Active
500398,100348,Savings,2023-09-20,17846,Active
500399,100349,Salary,2023-04-06,7256,Active
500400,100350,Savings,2022-05-20,32016,Active
500401,100350,Savings,2023-05-22,34641,Active
500402,100351,Savings,2022-07-17,82439,Active
500403,100351,Savings,2022-08-14,37929,Active
500404,100352,Savings,2023-02-08,33821,Active
500405,100353,Salary,2024-02-23,91184,Active
500406,100354,Savings,2023-12-09,54534,Inactive
500407,100355,Savings,2022-01-20,23903,Active
500408,100356,Current,2023-12-05,10524,Active
500409,100357,Savings,2022-12-08,95996,Active
500410,100358,Savings,2023-01-14,14846,Active
500411,100359,Current,2023-05-26,17783,Active
500412,100360,Savings,2022-07-02,11627,Inactive
500413,100361,Salary,2022-03-12,29522,Active
500414,100362,Savings,2023-04-08,8068,Active
500415,100362,Current,2022-02-11,12836,Active
500416,100363,Salary,2022-02-24,51141,Active
500417,100363,Savings,2024-01-28,11325,Active
500418,100364,Current,2022-09-15,27063,Active
500419,100365,Savings,2024-02-17,26247,Active
500420,100366,Savings,2023-03-07,32702,Active
500421,100367,Current,2022-10-03,29381,Active
500422,100368,Savings,2023-11-17,18836,Active
500423,100369,Salary,2023-04-29,20784,Active
500424,100370,Salary,2022-05-17,10133,Active
500425,100370,Savings,2022-09-16,52719,Active
500426,100371,Salary,2022-05-23,13643,Active
500427,100372,Savings,2022-02-13,6820,Active
500428,100373,Savings,2024-03-31,14839,Active
500429,100374,Savings,2023-07-10,29790,Active
500430,100375,Savings,2023-03-26,5713,Active
500431,100376,Savings,2023-02-06,98475,Active
500432,100376,Savings,2022-05-26,98792,Frozen
500433,100377,Current,2023-07-14,34114,Active
500434,100378,Savings,2022-04-20,5160,Active
500435,100378,Salary,2023-05-15,14242,Active
500436,100379,Salary,2022-10-04,46282,Active
500437,100380,Current,2022-10-08,17093,Active
500438,100381,Savings,2023-07-19,30776,Active
500439,100382,Savings,2024-02-18,11453,Active
500440,100383,Savings,2023-05-11,37387,Active
500441,100384,Salary,2023-02-23,53562,Active
500442,100385,Salary,2023-02-10,23441,Active
500443,100386,Current,2024-04-26,128945,Active
500444,100387,Salary,2022-09-13,49686,Frozen
500445,100388,Salary,2024-01-13,58679,Active
500446,100389,Salary,2023-07-06,59418,Active
500447,100389,Savings,2023-01-03,36679,Active
500448,100390,Savings,2023-04-23,23475,Active
500449,100391,Salary,2022-01-12,55617,Active
500450,100392,Savings,2024-01-24,24058,Active
500451,100393,Savings,2023-11-13,91550,Active
500452,100394,Savings,2023-05-09,38263,Active
500453,100394,Current,2022-09-14,7526,Active
500454,100395,Savings,2022-05-25,9589,Active
500455,100396,Savings,2023-11-04,16531,Active
500456,100397,Current,2023-04-06,10861,Active
500457,100397,Savings,2023-11-01,77986,Active
500458,100398,Savings,2024-01-30,26614,Active
500459,100399,Savings,2022-11-08,68027,Active
500460,100400,Savings,2022-05-27,23297,Active
500461,100401,Savings,2023-02-14,67301,Active
500462,100402,Savings,2023-07-05,36091,Active
500463,100403,Savings,2022-06-28,13611,Active
500464,100404,Savings,2022-11-26,23437,Active
500465,100405,Savings,2023-02-23,15890,Active
500466,100405,Salary,2024-04-12,13081,Active
500467,100406,Salary,2022-11-26,63028,Active
500468,100407,Savings,2022-01-11,16397,Active
500469,100408,Savings,2023-10-22,14482,Active
500470,100409,Savings,2023-03-27,19901,Active
500471,100410,Savings,2023-08-05,5900,Inactive
500472,100411,Current,2024-02-02,25364,Active
500473,100412,Savings,2023-01-29,25508,Active
500474,100413,Savings,2022-02-13,17843,Active
500475,100414,Current,2023-04-03,28574,Active
500476,100415,Savings,2022-11-29,19169,Active
500477,100416,Salary,2024-01-26,15843,Active
500478,100417,Savings,2023-07-19,18146,Active
500479,100418,Savings,2023-05-18,30987,Active
500480,100418,Savings,2023-10-27,15079,Active
500481,100419,Savings,2022-04-17,16158,Active
500482,100420,Savings,2022-02-09,14662,Active
500483,100420,Savings,2024-04-06,7782,Active
500484,100421,Savings,2023-03-14,13693,Active
500485,100422,Current,2022-03-17,32104,Active
500486,100423,Current,2022-09-05,20208,Active
500487,100424,Savings,2023-07-17,6501,Inactive
500488,100425,Salary,2024-04-11,29103,Active
500489,100426,Savings,2022-12-21,2689,Inactive
500490,100427,Savings,2023-03-03,39759,Active
500491,100428,Salary,2023-09-24,31000,Active
500492,100429,Savings,2023-10-27,40876,Active
500493,100430,Salary,2024-01-16,32867,Inactive
500494,100431,Salary,2023-01-23,16307,Active
500495,100432,Savings,2023-10-07,31138,Inactive
500496,100433,Savings,2022-08-03,6986,Active
500497,100434,Current,2023-04-23,43223,Active
500498,100435,Savings,2022-12-19,27126,Active
500499,100436,Savings,2022-03-12,14557,Active
500500,100437,Savings,2022-11-14,36469,Active
500501,100438,Savings,2022-09-30,58822,Active
500502,100439,Savings,2023-04-13,14750,Active
500503,100439,Savings,2022-04-08,26808,Active
500504,100440,Savings,2023-08-17,22584,Active
500505,100441,Salary,2022-03-22,51575,Active
500506,100442,Salary,2023-02-01,87564,Active
500507,100443,Savings,2023-10-18,11422,Active
500508,100444,Savings,2023-03-28,68156,Active
500509,100445,Current,2022-01-13,23942,Active
500510,100446,Savings,2022-05-16,23830,Active
500511,100447,Savings,2022-10-13,41661,Active
500512,100447,Salary,2024-02-27,13139,Active
500513,100448,Savings,2022-08-03,16442,Active
500514,100449,Savings,2024-01-11,27091,Active
500515,100450,Salary,2024-04-15,11052,Inactive
500516,100451,Current,2023-04-26,10317,Active
500517,100452,Savings,2023-05-07,13331,Active
500518,100453,Salary,2022-01-22,13631,Frozen
500519,100454,Salary,2023-10-28,21357,Active
500520,100455,Savings,2023-04-19,74528,Active
500521,100456,Salary,2023-06-15,34597,Frozen
500522,100457,Savings,2022-05-27,157121,Active
500523,100458,Salary,2022-01-04,36832,Active
500524,100459,Current,2024-01-30,20991,Inactive
500525,100460,Salary,2023-05-01,9476,Active
500526,100461,Savings,2022-01-17,36140,Active
500527,100462,Salary,2022-01-25,15229,Active
500528,100463,Savings,2022-04-24,39826,Active
500529,100464,Salary,2023-08-01,21723,Active
500530,100465,Savings,2022-04-01,24427,Active
500531,100466,Savings,2022-09-09,39536,Active
500532,100467,Savings,2022-08-11,22812,Active
500533,100468,Savings,2022-05-21,7845,Active
500534,100469,Salary,2022-06-08,25185,Active
500535,100470,Savings,2023-09-25,24986,Active
500536,100471,Salary,2023-02-28,21953,Active
500537,100471,Savings,2024-03-27,7893,Active
500538,100472,Current,2022-06-10,76771,Active
500539,100473,Savings,2023-05-21,105912,Active
500540,100474,Current,2024-03-05,17917,Active
500541,100474,Savings,2022-03-22,18494,Active
500542,100475,Current,2023-03-06,22070,Active
500543,100476,Current,2023-07-28,9714,Inactive
500544,100477,Savings,2022-04-10,42977,Active
500545,100478,Current,2022-09-22,33119,Active
500546,100479,Salary,2023-01-29,74908,Active
500547,100480,Savings,2022-02-20,7394,Active
500548,100481,Savings,2023-01-27,19704,Active
500549,100482,Savings,2022-04-12,31213,Active
500550,100483,Savings,2022-08-24,7790,Active
500551,100484,Current,2023-01-18,44907,Active
500552,100485,Savings,2023-08-31,26404,Active
500553,100485,Savings,2023-09-05,17096,Active
500554,100486,Savings,2024-02-20,15952,Active
500555,100486,Savings,2023-05-25,54608,Active
500556,100487,Savings,2022-04-06,10770,Active
500557,100488,Salary,2023-03-12,13670,Active
500558,100489,Savings,2023-08-09,53415,Active
500559,100490,Salary,2022-09-14,10668,Active
500560,100491,Salary,2024-03-18,22184,Active
500561,100492,Salary,2023-05-18,20398,Active
500562,100493,Savings,2022-12-15,28699,Active
500563,100494,Salary,2024-02-10,8562,Active
500564,100495,Salary,2023-05-06,15794,Active
500565,100496,Salary,2024-04-20,40730,Active
500566,100497,Savings,2024-02-09,43434,Active
500567,100498,Current,2024-03-31,44753,Active
500568,100499,Current,2022-03-15,38617,Active
500569,100500,Savings,2023-07-16,8855,Active
500570,100500,Current,2023-02-11,11880,Active
500571,100501,Savings,2022-08-05,23081,Active
500572,100501,Savings,2022-05-24,37772,Active
500573,100502,Salary,2023-04-29,61878,Active
500574,100503,Salary,2022-07-25,19417,Active
500575,100503,Salary,2023-05-21,45554,Active
500576,100504,Savings,2023-05-09,24450,Active
500577,100505,Savings,2023-08-23,31304,Active
500578,100506,Salary,2023-10-30,9219,Active
500579,100507,Savings,2023-02-02,7455,Active
500580,100508,Savings,2024-02-29,3941,Active
500581,100509,Salary,2022-12-02,24886,Active
500582,100510,Current,2022-12-26,10419,Active
500583,100511,Savings,2022-03-07,17217,Active
500584,100512,Savings,2022-08-07,6615,Active
500585,100513,Savings,2023-02-28,19919,Inactive
500586,100514,Savings,2022-08-25,31659,Active
500587,100515,Current,2023-05-28,37953,Active
500588,100516,Current,2023-08-05,17639,Active
500589,100517,Savings,2023-04-03,17595,Inactive
500590,100518,Salary,2022-04-11,9307,Active
500591,100519,Salary,2023-07-02,12051,Active
500592,100520,Savings,2022-07-14,25434,Active
500593,100521,Salary,2023-12-07,12098,Active
500594,100521,Savings,2024-03-17,30083,Active
500595,100522,Salary,2024-01-15,11636,Frozen
500596,100523,Savings,2022-06-26,22903,Active
500597,100524,Savings,2022-09-16,8157,Active
500598,100525,Savings,2022-01-30,73863,Active
500599,100526,Savings,2023-02-04,13395,Active
500600,100527,Salary,2023-09-17,46867,Active
500601,100527,Salary,2022-06-16,18055,Active
500602,100528,Salary,2024-03-04,7391,Active
500603,100529,Savings,2024-03-09,6175,Active
500604,100530,Savings,2023-04-09,19283,Active
500605,100531,Savings,2023-10-18,13771,Active
