ticket_id,customer_id,ticket_date,issue_type,resolution_status,resolution_days
300056,100811,2024-01-05,Fraud Concern,Resolved,1
300057,101701,2024-01-06,Fraud Concern,Resolved,7
300058,100513,2024-03-31,Refund Delay,Open,10
300059,100143,2024-03-15,App Issue,Escalated,4
300060,101788,2024-03-05,Failed Transaction,Escalated,1
300061,100670,2024-04-21,Account Service,Resolved,1
300062,100871,2024-01-07,App Issue,Resolved,3
300063,100576,2024-04-04,App Issue,Open,5
300064,101538,2024-02-04,Refund Delay,Resolved,3
300065,100163,2024-02-26,App Issue,Resolved,2
300066,101087,2024-02-03,Failed Transaction,Resolved,1
300067,101685,2024-01-06,Failed Transaction,Escalated,2
300068,101510,2024-01-13,Failed Transaction,Resolved,2
300069,100422,2024-01-13,Refund Delay,Resolved,7
300070,101356,2024-01-21,Refund Delay,Resolved,10
300071,101232,2024-03-20,App Issue,Resolved,3
300072,101248,2024-04-07,App Issue,Resolved,7
300073,101963,2024-02-07,Refund Delay,Open,10
300074,100238,2024-03-17,Refund Delay,Resolved,15
300075,101948,2024-04-10,App Issue,Resolved,7
300076,100895,2024-02-10,Account Service,Resolved,5
300077,101731,2024-01-28,App Issue,Resolved,15
300078,101821,2024-02-09,Failed Transaction,Resolved,1
300079,101451,2024-03-22,Refund Delay,Resolved,2
300080,100474,2024-04-11,Failed Transaction,Open,7
300081,101580,2024-02-14,Fraud Concern,Escalated,4
300082,100794,2024-04-28,Refund Delay,Resolved,5
300083,100002,2024-04-01,Refund Delay,Resolved,7
300084,101806,2024-01-17,Account Service,Escalated,5
300085,101275,2024-03-22,Failed Transaction,Resolved,1
300086,100021,2024-04-05,Fraud Concern,Resolved,10
300087,101252,2024-03-27,Fraud Concern,Resolved,15
300088,100631,2024-01-16,Failed Transaction,Resolved,10
300089,101242,2024-01-14,Failed Transaction,Resolved,15
300090,100588,2024-02-24,Fraud Concern,Resolved,1
300091,101822,2024-03-25,Failed Transaction,Resolved,2
300092,100487,2024-03-26,App Issue,Open,15
300093,101420,2024-03-19,Fraud Concern,Open,15
300094,100526,2024-01-22,Failed Transaction,Resolved,1
300095,101490,2024-02-16,App Issue,Resolved,7
300096,100448,2024-04-13,Account Service,Resolved,1
300097,100403,2024-02-16,Refund Delay,Resolved,10
300098,100864,2024-01-19,Failed Transaction,Resolved,4
300099,100283,2024-01-29,Failed Transaction,Resolved,2
300100,101959,2024-03-22,Account Service,Open,15
300101,100881,2024-01-04,Refund Delay,Resolved,10
300102,100217,2024-03-23,Refund Delay,Resolved,3
300103,101204,2024-04-17,Failed Transaction,Escalated,15
300104,101361,2024-03-03,Fraud Concern,Resolved,3
300105,101804,2024-02-03,Fraud Concern,Open,15
300106,101863,2024-04-10,Refund Delay,Open,15
300107,100595,2024-04-11,Refund Delay,Open,7
300108,101429,2024-02-02,Fraud Concern,Resolved,7
300109,101701,2024-01-23,Failed Transaction,Resolved,7
300110,101259,2024-01-16,Refund Delay,Open,5
300111,100444,2024-03-05,Failed Transaction,Resolved,7
300112,101122,2024-03-17,App Issue,Resolved,7
300113,100221,2024-04-05,Refund Delay,Open,2
300114,100644,2024-03-22,Fraud Concern,Resolved,5
300115,101275,2024-01-17,Refund Delay,Open,7
300116,100611,2024-04-26,Refund Delay,Resolved,7
300117,100586,2024-02-01,Refund Delay,Resolved,5
300118,101674,2024-03-14,App Issue,Resolved,7
300119,100279,2024-03-06,Account Service,Resolved,4
300120,100015,2024-04-22,App Issue,Resolved,5
300121,100965,2024-01-24,Failed Transaction,Resolved,10
300122,101808,2024-02-23,Failed Transaction,Escalated,5
300123,101551,2024-03-05,Failed Transaction,Open,10
300124,101435,2024-03-30,Account Service,Resolved,4
300125,100167,2024-01-15,Failed Transaction,Resolved,3
300126,100876,2024-02-12,Account Service,Resolved,3
300127,101484,2024-03-01,Refund Delay,Escalated,3
300128,101649,2024-04-08,Refund Delay,Resolved,3
300129,101645,2024-04-22,Refund Delay,Resolved,4
300130,101794,2024-02-22,Refund Delay,Resolved,10
300131,100227,2024-03-27,Failed Transaction,Resolved,7
300132,100705,2024-04-18,App Issue,Open,7
300133,100263,2024-02-04,Failed Transaction,Resolved,15
300134,101720,2024-03-11,Refund Delay,Escalated,5
300135,101214,2024-03-30,App Issue,Resolved,10
300136,101589,2024-01-18,Failed Transaction,Escalated,10
300137,100501,2024-02-21,Failed Transaction,Resolved,7
300138,100336,2024-02-28,App Issue,Open,1
300139,100604,2024-03-07,Account Service,Open,15
300140,100136,2024-03-01,Failed Transaction,Escalated,3
300141,100007,2024-04-10,Account Service,Resolved,7
300142,101807,2024-02-02,Fraud Concern,Resolved,10
300143,101129,2024-02-02,Fraud Concern,Open,10
300144,100842,2024-01-23,Fraud Concern,Resolved,1
300145,101992,2024-02-12,Failed Transaction,Open,10
300146,100565,2024-03-07,Failed Transaction,Open,10
300147,100270,2024-02-19,App Issue,Resolved,2
300148,101366,2024-03-09,Failed Transaction,Resolved,1
300149,101749,2024-05-04,App Issue,Resolved,10
300150,101026,2024-03-15,Failed Transaction,Resolved,10
300151,100396,2024-02-01,App Issue,Resolved,10
300152,101925,2024-03-10,Failed Transaction,Resolved,4
300153,101695,2024-04-29,Refund Delay,Escalated,15
300154,101315,2024-02-26,App Issue,Resolved,2
300155,101907,2024-02-08,Account Service,Resolved,2
300156,100293,2024-03-20,App Issue,Resolved,15
300157,101094,2024-01-17,Refund Delay,Resolved,3
300158,101723,2024-03-26,Refund Delay,Open,1
300159,100112,2024-02-17,Refund Delay,Open,1
300160,100063,2024-02-18,Failed Transaction,Resolved,1
300161,100069,2024-01-04,Fraud Concern,Resolved,7
300162,101952,2024-03-27,Refund Delay,Open,10
300163,100940,2024-04-15,Failed Transaction,Escalated,10
300164,100677,2024-02-26,Failed Transaction,Resolved,15
300165,100238,2024-02-12,App Issue,Resolved,3
300166,101945,2024-04-07,Account Service,Resolved,15
300167,101541,2024-02-03,Failed Transaction,Open,5
300168,100340,2024-01-26,Failed Transaction,Escalated,7
300169,101911,2024-04-20,Refund Delay,Resolved,7
300170,100064,2024-03-05,Refund Delay,Resolved,7
300171,101014,2024-01-09,Fraud Concern,Resolved,10
300172,101384,2024-04-10,App Issue,Resolved,1
300173,101647,2024-03-17,Refund Delay,Open,3
300174,100877,2024-04-30,Refund Delay,Resolved,5
300175,100940,2024-03-06,Failed Transaction,Resolved,1
300176,101656,2024-02-04,Failed Transaction,Open,4
300177,100915,2024-03-14,Account Service,Resolved,3
300178,101283,2024-04-24,Fraud Concern,Open,1
300179,100050,2024-01-17,Account Service,Resolved,10
300180,100873,2024-03-28,Failed Transaction,Resolved,7
300181,100581,2024-01-30,Failed Transaction,Resolved,15
300182,100069,2024-03-12,Fraud Concern,Escalated,5
300183,101333,2024-01-10,Refund Delay,Escalated,1
300184,100810,2024-04-03,Refund Delay,Resolved,15
300185,101516,2024-03-04,Account Service,Resolved,15
300186,100561,2024-01-18,Account Service,Resolved,5
300187,101539,2024-04-05,Refund Delay,Escalated,4
300188,101071,2024-04-01,Fraud Concern,Open,3
300189,100697,2024-03-04,App Issue,Resolved,7
300190,100447,2024-03-24,App Issue,Resolved,3
300191,100546,2024-03-04,Account Service,Resolved,5
300192,100090,2024-03-04,Refund Delay,Resolved,2
300193,101710,2024-02-05,Failed Transaction,Escalated,7
300194,100858,2024-01-10,App Issue,Escalated,3
300195,101549,2024-04-03,Fraud Concern,Resolved,1
300196,100060,2024-01-11,Account Service,Resolved,2
300197,100189,2024-03-27,Refund Delay,Resolved,5
300198,100349,2024-02-23,Failed Transaction,Resolved,1
300199,101058,2024-04-19,Account Service,Resolved,10
300200,100102,2024-02-01,Account Service,Resolved,2
300201,100794,2024-03-16,Failed Transaction,Resolved,4
300202,101353,2024-03-15,Refund Delay,Resolved,10
300203,101514,2024-03-08,Failed Transaction,Escalated,15
300204,100829,2024-04-02,Failed Transaction,Resolved,4
300205,101004,2024-01-23,Failed Transaction,Resolved,2
300206,100611,2024-03-31,Failed Transaction,Resolved,1
300207,100974,2024-01-18,Account Service,Resolved,7
300208,101496,2024-01-16,Failed Transaction,Resolved,3
300209,100416,2024-01-30,App Issue,Open,7
300210,101151,2024-03-15,App Issue,Resolved,10
300211,101973,2024-04-22,Failed Transaction,Resolved,15
300212,101416,2024-03-10,Failed Transaction,Escalated,10
300213,101794,2024-02-12,App Issue,Resolved,7
300214,101312,2024-03-16,Failed Transaction,Resolved,4
300215,100132,2024-03-30,App Issue,Resolved,15
300216,100138,2024-02-20,Refund Delay,Escalated,2
300217,101225,2024-04-12,Failed Transaction,Resolved,1
300218,100961,2024-03-02,App Issue,Resolved,4
300219,101226,2024-04-17,Failed Transaction,Open,15
300220,100681,2024-04-21,Failed Transaction,Resolved,3
300221,100591,2024-01-10,Failed Transaction,Resolved,10
300222,100807,2024-02-22,Refund Delay,Resolved,1
300223,101010,2024-01-09,App Issue,Resolved,4
300224,101039,2024-02-12,App Issue,Open,7
300225,100254,2024-02-03,App Issue,Resolved,5
300226,101940,2024-04-16,Account Service,Resolved,4
300227,101606,2024-04-26,Failed Transaction,Resolved,10
300228,100896,2024-04-05,Failed Transaction,Open,4
300229,100251,2024-03-09,Failed Transaction,Resolved,5
300230,100982,2024-02-03,Refund Delay,Resolved,1
300231,101846,2024-02-07,Refund Delay,Resolved,2
300232,100433,2024-04-30,Failed Transaction,Resolved,2
300233,101610,2024-04-24,Refund Delay,Resolved,2
300234,101165,2024-01-16,App Issue,Resolved,7
300235,101372,2024-03-14,App Issue,Resolved,2
300236,100496,2024-03-19,Failed Transaction,Open,3
300237,101570,2024-03-30,App Issue,Resolved,10
300238,100769,2024-04-12,Failed Transaction,Escalated,3
300239,101678,2024-04-03,Refund Delay,Resolved,10
300240,100274,2024-02-08,Failed Transaction,Resolved,1
300241,100246,2024-01-27,Failed Transaction,Resolved,4
300242,100354,2024-04-10,Refund Delay,Resolved,5
300243,101693,2024-03-05,App Issue,Resolved,7
300244,100173,2024-03-16,Refund Delay,Resolved,3
300245,100214,2024-04-26,Refund Delay,Resolved,10
300246,101193,2024-01-24,Failed Transaction,Resolved,15
300247,100492,2024-04-30,Account Service,Resolved,2
300248,101891,2024-04-07,App Issue,Resolved,7
300249,100679,2024-04-08,Refund Delay,Resolved,3
300250,100752,2024-01-17,App Issue,Resolved,2
300251,101205,2024-01-24,Refund Delay,Resolved,3
300252,101790,2024-03-07,Failed Transaction,Escalated,5
300253,100353,2024-02-13,Failed Transaction,Open,7
300254,100337,2024-02-23,App Issue,Escalated,7
300255,100984,2024-04-01,Refund Delay,Resolved,7
300256,100359,2024-05-01,Fraud Concern,Resolved,1
300257,100797,2024-03-31,Account Service,Resolved,15
300258,101655,2024-03-18,Refund Delay,Resolved,5
300259,100501,2024-02-06,App Issue,Resolved,2
300260,100906,2024-02-27,Fraud Concern,Escalated,15
300261,100913,2024-02-21,App Issue,Resolved,1
300262,101938,2024-02-14,Refund Delay,Resolved,4
300263,100165,2024-01-12,Account Service,Resolved,5
300264,101671,2024-03-14,Refund Delay,Resolved,10
300265,101039,2024-01-19,Failed Transaction,Resolved,4
300266,101140,2024-02-07,Account Service,Resolved,15
300267,100906,2024-01-14,Failed Transaction,Open,7
300268,101985,2024-02-16,Failed Transaction,Escalated,4
300269,101290,2024-04-06,Refund Delay,Resolved,15
300270,101571,2024-03-14,Refund Delay,Resolved,1
300271,101349,2024-02-13,App Issue,Resolved,4
300272,100374,2024-01-08,App Issue,Resolved,2
300273,101061,2024-03-12,App Issue,Resolved,3
300274,100175,2024-04-30,Refund Delay,Resolved,3
300275,100027,2024-02-23,Account Service,Resolved,5
300276,101465,2024-02-06,Refund Delay,Open,2
300277,100842,2024-01-13,Failed Transaction,Open,7
300278,101277,2024-02-21,Failed Transaction,Resolved,4
300279,101589,2024-04-09,Account Service,Resolved,15
300280,100474,2024-01-18,Failed Transaction,Open,2
300281,100593,2024-01-25,Failed Transaction,Resolved,7
300282,100658,2024-02-28,App Issue,Resolved,4
300283,101008,2024-04-27,Account Service,Resolved,2
300284,101381,2024-04-26,Refund Delay,Resolved,4
300285,100214,2024-04-11,Fraud Concern,Resolved,2
300286,100942,2024-03-25,Failed Transaction,Resolved,15
300287,100967,2024-02-01,Account Service,Resolved,2
300288,100083,2024-04-29,Failed Transaction,Resolved,4
300289,100509,2024-03-11,Account Service,Resolved,3
300290,100219,2024-04-10,App Issue,Resolved,5
300291,100034,2024-02-21,Failed Transaction,Open,5
300292,100677,2024-04-26,Failed Transaction,Resolved,3
300293,101407,2024-03-03,Failed Transaction,Resolved,15
300294,100083,2024-04-22,Failed Transaction,Resolved,2
300295,100655,2024-02-25,App Issue,Resolved,1
300296,101549,2024-04-18,Account Service,Resolved,15
300297,101970,2024-02-15,App Issue,Resolved,3
300298,100514,2024-04-04,App Issue,Resolved,4
300299,100701,2024-04-29,Fraud Concern,Resolved,7
300300,100421,2024-01-01,App Issue,Resolved,5
300301,101446,2024-03-20,Failed Transaction,Resolved,7
300302,101849,2024-04-21,Account Service,Resolved,10
300303,101663,2024-02-03,Failed Transaction,Resolved,4
300304,101887,2024-02-03,App Issue,Resolved,10
300305,101565,2024-01-19,Failed Transaction,Resolved,5
300306,101849,2024-02-03,Failed Transaction,Open,1
300307,101757,2024-01-14,Refund Delay,Resolved,15
300308,100829,2024-02-20,App Issue,Open,2
300309,101478,2024-03-23,Failed Transaction,Resolved,15
300310,101318,2024-03-23,Failed Transaction,Open,10
300311,100740,2024-02-15,Fraud Concern,Escalated,15
300312,101034,2024-01-21,Failed Transaction,Open,4
300313,100665,2024-02-25,Fraud Concern,Escalated,10
300314,101407,2024-02-16,App Issue,Resolved,10
300315,101491,2024-03-16,App Issue,Resolved,2
300316,100949,2024-01-05,Account Service,Open,1
300317,101812,2024-02-01,App Issue,Resolved,1
300318,101372,2024-04-02,Failed Transaction,Resolved,4
300319,100644,2024-03-07,Fraud Concern,Escalated,7
300320,100733,2024-01-24,Failed Transaction,Resolved,3
300321,100297,2024-02-05,Refund Delay,Resolved,2
300322,100851,2024-03-08,Account Service,Resolved,10
300323,100677,2024-03-12,App Issue,Resolved,10
300324,101722,2024-04-14,Fraud Concern,Resolved,10
300325,101644,2024-01-18,Refund Delay,Resolved,5
300326,100281,2024-03-06,App Issue,Resolved,10
300327,100044,2024-01-05,App Issue,Resolved,1
300328,100572,2024-01-02,App Issue,Resolved,15
300329,101384,2024-04-04,Refund Delay,Resolved,7
300330,101274,2024-02-17,Fraud Concern,Resolved,10
300331,101090,2024-02-24,Account Service,Escalated,2
300332,101494,2024-01-14,Refund Delay,Resolved,1
300333,101334,2024-03-12,Failed Transaction,Resolved,7
300334,100701,2024-03-20,App Issue,Resolved,1
300335,101712,2024-01-17,Failed Transaction,Resolved,3
300336,100363,2024-01-17,App Issue,Resolved,1
300337,101464,2024-03-15,App Issue,Resolved,1
300338,101633,2024-02-13,App Issue,Open,4
300339,101406,2024-04-13,Failed Transaction,Resolved,15
300340,100483,2024-04-25,Failed Transaction,Open,4
300341,100026,2024-02-23,Failed Transaction,Open,15
300342,101795,2024-02-06,Failed Transaction,Escalated,7
300343,101427,2024-04-25,Failed Transaction,Open,10
300344,100763,2024-02-02,Account Service,Resolved,3
300345,100046,2024-02-13,Refund Delay,Resolved,15
300346,101438,2024-04-29,App Issue,Escalated,10
300347,101388,2024-03-19,Refund Delay,Resolved,3
300348,101401,2024-02-13,Refund Delay,Open,3
300349,101292,2024-02-23,Refund Delay,Resolved,2
300350,101187,2024-03-18,Refund Delay,Resolved,10
300351,100514,2024-02-26,Account Service,Resolved,3
300352,101341,2024-02-23,Refund Delay,Resolved,5
300353,101800,2024-03-16,App Issue,Resolved,4
300354,100986,2024-01-18,Failed Transaction,Resolved,1
300355,100081,2024-02-23,Failed Transaction,Resolved,5
300356,100768,2024-04-07,App Issue,Resolved,1
300357,100034,2024-02-12,Failed Transaction,Resolved,2
300358,100985,2024-02-29,Account Service,Resolved,1
300359,100363,2024-03-09,App Issue,Resolved,7
300360,100155,2024-04-01,Fraud Concern,Resolved,7
300361,101478,2024-01-05,Failed Transaction,Resolved,15
300362,101259,2024-01-17,Failed Transaction,Resolved,10
300363,101435,2024-04-07,Failed Transaction,Resolved,10
300364,101236,2024-02-20,App Issue,Escalated,4
300365,100144,2024-01-04,Failed Transaction,Resolved,10
300366,100554,2024-04-07,Failed Transaction,Resolved,2
300367,101931,2024-01-14,Refund Delay,Resolved,5
300368,101333,2024-04-20,Refund Delay,Resolved,1
300369,101592,2024-04-15,Fraud Concern,Open,5
300370,101258,2024-03-17,Failed Transaction,Resolved,1
300371,100469,2024-03-21,Account Service,Resolved,15
300372,101263,2024-04-04,App Issue,Resolved,5
300373,100749,2024-01-05,Failed Transaction,Open,10
300374,100093,2024-03-14,App Issue,Resolved,10
300375,100005,2024-01-05,Refund Delay,Resolved,3
300376,101354,2024-01-15,Account Service,Resolved,2
300377,100008,2024-02-27,Fraud Concern,Resolved,15
300378,100596,2024-01-24,Refund Delay,Escalated,15
300379,101405,2024-04-13,Fraud Concern,Resolved,15
300380,100514,2024-02-12,Failed Transaction,Open,15
300381,100077,2024-01-09,Failed Transaction,Resolved,1
300382,100775,2024-03-28,Failed Transaction,Resolved,1
300383,101601,2024-01-15,Fraud Concern,Resolved,10
300384,100492,2024-01-15,Failed Transaction,Escalated,1
300385,100047,2024-02-22,Refund Delay,Resolved,3
300386,101920,2024-04-03,Failed Transaction,Open,4
300387,101409,2024-04-01,Account Service,Resolved,3
300388,101583,2024-03-29,App Issue,Resolved,10
300389,101973,2024-03-09,Account Service,Resolved,10
300390,101797,2024-04-02,Refund Delay,Resolved,15
300391,100462,2024-01-17,App Issue,Resolved,10
300392,100973,2024-02-28,Refund Delay,Open,15
300393,101235,2024-01-29,Failed Transaction,Resolved,4
300394,101249,2024-05-01,Refund Delay,Resolved,1
300395,101357,2024-05-02,Refund Delay,Resolved,7
300396,100378,2024-02-19,Refund Delay,Resolved,5
300397,100218,2024-03-29,Failed Transaction,Escalated,2
300398,100736,2024-04-15,App Issue,Resolved,3
300399,101912,2024-04-10,App Issue,Resolved,10
300400,100406,2024-04-13,Refund Delay,Resolved,7
300401,101086,2024-04-25,Failed Transaction,Resolved,3
300402,101789,2024-02-14,App Issue,Open,3
300403,100312,2024-02-28,Failed Transaction,Resolved,4
300404,100640,2024-01-14,App Issue,Resolved,5
300405,100199,2024-02-22,App Issue,Resolved,5
300406,101863,2024-02-20,App Issue,Resolved,1
300407,101257,2024-03-13,Fraud Concern,Escalated,7
300408,100596,2024-03-30,Refund Delay,Resolved,5
300409,100933,2024-04-25,Refund Delay,Resolved,2
300410,101981,2024-03-13,Failed Transaction,Resolved,5
300411,100007,2024-02-01,Failed Transaction,Resolved,10
300412,100897,2024-04-20,Fraud Concern,Resolved,5
300413,101881,2024-04-23,Failed Transaction,Resolved,3
300414,101684,2024-01-23,Fraud Concern,Escalated,15
300415,100542,2024-02-22,Refund Delay,Open,10
300416,100362,2024-04-10,Refund Delay,Resolved,1
300417,101489,2024-02-15,Account Service,Resolved,1
300418,100402,2024-03-27,Refund Delay,Resolved,1
300419,100949,2024-04-19,Refund Delay,Resolved,3
300420,100959,2024-01-28,Fraud Concern,Resolved,10
300421,101803,2024-03-24,Failed Transaction,Resolved,10
300422,100842,2024-03-20,Refund Delay,Resolved,15
300423,101428,2024-03-20,Failed Transaction,Resolved,10
300424,100759,2024-04-14,Account Service,Resolved,7
300425,101598,2024-04-13,Account Service,Resolved,5
300426,101947,2024-01-07,Refund Delay,Resolved,3
300427,100926,2024-01-20,Refund Delay,Resolved,4
300428,100472,2024-04-16,Fraud Concern,Open,2
300429,101235,2024-03-11,Refund Delay,Resolved,7
300430,101522,2024-03-06,Account Service,Resolved,1
300431,101342,2024-01-23,Refund Delay,Resolved,2
300432,101787,2024-01-13,Failed Transaction,Resolved,7
300433,101834,2024-02-22,Failed Transaction,Resolved,10
300434,100275,2024-04-15,Failed Transaction,Resolved,15
300435,100503,2024-04-03,App Issue,Resolved,3
300436,100513,2024-03-15,App Issue,Open,15
300437,100668,2024-01-08,Failed Transaction,Open,10
300438,101627,2024-03-29,Refund Delay,Resolved,1
300439,101655,2024-04-17,App Issue,Resolved,2
300440,101293,2024-01-10,Refund Delay,Open,5
300441,100886,2024-04-10,App Issue,Resolved,5
300442,101346,2024-03-10,Failed Transaction,Resolved,1
300443,100916,2024-01-05,App Issue,Open,15
300444,100239,2024-03-13,Account Service,Resolved,7
300445,100082,2024-04-25,Failed Transaction,Open,15
300446,101050,2024-04-08,Refund Delay,Resolved,15
300447,100360,2024-02-06,Account Service,Resolved,4
300448,100097,2024-03-23,Fraud Concern,Resolved,15
300449,100976,2024-02-01,App Issue,Resolved,5
300450,100537,2024-01-25,Refund Delay,Resolved,7
300451,100665,2024-01-17,App Issue,Resolved,10
300452,100516,2024-04-15,Fraud Concern,Resolved,10
300453,101356,2024-03-29,App Issue,Resolved,4
300454,100951,2024-02-01,App Issue,Open,5
300455,101939,2024-01-24,Refund Delay,Resolved,5
300456,100310,2024-05-02,App Issue,Resolved,10
300457,101435,2024-04-20,Failed Transaction,Resolved,4
300458,101420,2024-02-01,App Issue,Resolved,4
300459,101518,2024-03-08,App Issue,Resolved,2
300460,100331,2024-04-03,Failed Transaction,Resolved,10
300461,101200,2024-01-04,Refund Delay,Resolved,10
300462,100659,2024-02-04,Refund Delay,Escalated,4
300463,101514,2024-04-27,Failed Transaction,Resolved,4
300464,100543,2024-01-10,App Issue,Escalated,3
300465,100793,2024-01-15,App Issue,Escalated,10
300466,100216,2024-02-17,Refund Delay,Escalated,1
300467,101850,2024-03-03,Failed Transaction,Escalated,2
300468,101179,2024-03-23,App Issue,Resolved,5
300469,100988,2024-02-09,Failed Transaction,Open,4
300470,100967,2024-03-04,App Issue,Resolved,15
300471,100776,2024-01-30,App Issue,Escalated,10
300472,100804,2024-04-17,App Issue,Open,3
300473,100068,2024-02-21,Failed Transaction,Resolved,1
300474,100247,2024-03-01,Refund Delay,Resolved,3
300475,100636,2024-01-29,Failed Transaction,Open,3
300476,100776,2024-03-23,Failed Transaction,Resolved,1
300477,101971,2024-02-02,Refund Delay,Open,15
300478,100717,2024-02-05,Refund Delay,Open,1
300479,101612,2024-01-10,Failed Transaction,Resolved,15
300480,100703,2024-02-25,Failed Transaction,Open,5
300481,101452,2024-04-19,Fraud Concern,Resolved,2
300482,100992,2024-01-14,Fraud Concern,Resolved,10
300483,100849,2024-01-31,App Issue,Resolved,4
300484,100050,2024-04-25,Failed Transaction,Resolved,10
300485,101968,2024-03-17,App Issue,Resolved,4
300486,101711,2024-02-12,Failed Transaction,Resolved,1
300487,100075,2024-03-07,App Issue,Resolved,10
300488,100350,2024-03-05,Failed Transaction,Resolved,7
300489,101741,2024-02-20,Account Service,Open,7
300490,100999,2024-04-09,Failed Transaction,Resolved,10
300491,100137,2024-03-12,Failed Transaction,Resolved,10
300492,101530,2024-02-10,Failed Transaction,Resolved,15
300493,101073,2024-01-15,Refund Delay,Escalated,15
300494,101250,2024-04-24,App Issue,Resolved,1
300495,101757,2024-03-23,Fraud Concern,Resolved,15
300496,101622,2024-04-13,App Issue,Open,15
300497,100454,2024-01-18,Failed Transaction,Resolved,10
300498,100968,2024-01-13,Failed Transaction,Resolved,2
300499,100267,2024-01-29,Account Service,Resolved,7
300500,101876,2024-02-24,Failed Transaction,Open,15
300501,101343,2024-02-17,App Issue,Open,2
300502,101949,2024-01-26,Failed Transaction,Resolved,4
300503,101623,2024-03-05,Fraud Concern,Resolved,1
300504,100644,2024-01-30,Fraud Concern,Resolved,15
300505,101364,2024-01-02,Failed Transaction,Resolved,1
300506,101090,2024-04-13,Refund Delay,Resolved,2
300507,101160,2024-04-09,Account Service,Resolved,10
300508,100556,2024-01-30,Fraud Concern,Resolved,7
300509,101942,2024-03-02,App Issue,Resolved,7
300510,101626,2024-01-12,Failed Transaction,Resolved,1
300511,101718,2024-01-16,Refund Delay,Resolved,15
300512,100350,2024-04-05,App Issue,Resolved,7
300513,101184,2024-01-04,App Issue,Open,10
300514,100182,2024-04-28,App Issue,Resolved,7
300515,101480,2024-03-12,Refund Delay,Resolved,1
300516,100957,2024-03-25,Failed Transaction,Resolved,10
300517,100555,2024-01-11,Fraud Concern,Resolved,5
300518,101973,2024-04-11,Refund Delay,Resolved,1
300519,101541,2024-02-20,Failed Transaction,Escalated,15
300520,101252,2024-01-26,App Issue,Resolved,5
300521,100123,2024-02-22,Account Service,Escalated,3
300522,101294,2024-02-08,App Issue,Resolved,15
300523,100474,2024-01-11,Fraud Concern,Resolved,2
300524,100824,2024-02-17,Failed Transaction,Resolved,15
300525,100526,2024-04-04,Failed Transaction,Resolved,1
300526,101051,2024-02-13,App Issue,Resolved,2
