transaction_id,account_id,transaction_date,transaction_type,channel,amount,transaction_status,merchant_category,fraud_flag
900028,500247,2024-01-17,UPI,Internet Banking,1572.78,Success,Groceries,0
900029,500609,2024-01-11,UPI,Internet Banking,3134.44,Success,Restaurants,0
900030,501127,2024-04-11,ATM,Branch,7426.87,Success,Fuel,0
900031,501979,2024-02-16,Card,ATM,1129.53,Success,Groceries,0
900032,502305,2024-02-29,UPI,Mobile App,552.17,Success,Healthcare,0
900033,501151,2024-02-04,Card,Mobile App,2860.71,Success,Utilities,0
900034,501020,2024-03-29,ATM,UPI Partner,1684.66,Success,Healthcare,0
900035,501836,2024-04-10,UPI,UPI Partner,482.4,Success,Fuel,0
900036,501628,2024-04-20,Card,Mobile App,942.26,Success,Fuel,0
900037,500460,2024-02-05,NEFT,Internet Banking,18170.3,Success,Groceries,0
900038,501102,2024-01-29,Card,Mobile App,6204.96,Success,Travel,0
900039,501277,2024-03-19,Bill Payment,UPI Partner,227.41,Success,Travel,0
900040,502322,2024-03-20,UPI,Mobile App,2945.94,Success,Electronics,0
900041,501749,2024-03-04,NEFT,Mobile App,20862.85,Reversed,Utilities,0
900042,502184,2024-03-04,ATM,Mobile App,9173.65,Success,Groceries,0
900043,501623,2024-02-25,Bill Payment,Mobile App,674.67,Success,Utilities,0
900044,501684,2024-04-19,UPI,Internet Banking,1700.28,Success,Education,0
900045,500866,2024-01-28,UPI,Internet Banking,2603.65,Success,Healthcare,0
900046,500640,2024-04-01,Bill Payment,Mobile App,2868.08,Success,Electronics,0
900047,500563,2024-04-05,UPI,Branch,525.43,Reversed,Healthcare,0
900048,501132,2024-04-22,UPI,Mobile App,1958.92,Success,Education,0
900049,500647,2024-04-03,NEFT,Mobile App,3143.9,Success,Fuel,0
900050,500278,2024-02-16,ATM,ATM,8492.92,Success,Utilities,0
900051,500387,2024-04-14,IMPS,UPI Partner,13967.45,Success,Groceries,0
900052,501367,2024-03-20,IMPS,UPI Partner,7743.86,Success,Electronics,0
900053,501479,2024-03-16,ATM,UPI Partner,5587.32,Failed,Utilities,0
900054,500254,2024-02-07,UPI,UPI Partner,865.88,Success,Healthcare,0
900055,500177,2024-04-26,Card,Branch,1992.5,Success,Fuel,0
900056,501019,2024-02-09,IMPS,Mobile App,2864.51,Success,Fuel,0
900057,501612,2024-04-03,IMPS,Internet Banking,10857.12,Success,Groceries,0
900058,501860,2024-01-10,IMPS,UPI Partner,6968.42,Success,Fuel,0
900059,500130,2024-02-03,Card,Branch,303.36,Success,Travel,0
900060,500215,2024-04-06,UPI,Internet Banking,11393.03,Success,Fuel,0
900061,500075,2024-01-27,Bill Payment,UPI Partner,803.87,Success,Electronics,0
900062,500933,2024-02-26,NEFT,Internet Banking,19096.19,Success,Electronics,0
900063,501256,2024-02-03,UPI,UPI Partner,459.79,Success,Travel,0
900064,501181,2024-03-03,Card,UPI Partner,1789.8,Reversed,Electronics,0
900065,501076,2024-04-17,Card,Internet Banking,3526.87,Success,Utilities,0
900066,501383,2024-04-14,UPI,Mobile App,2072.05,Success,Electronics,0
900067,501529,2024-04-28,UPI,Mobile App,1393.46,Success,Utilities,0
900068,501727,2024-01-24,Card,Mobile App,717.5,Success,Restaurants,0
900069,500197,2024-02-24,Card,Mobile App,1634.88,Success,Healthcare,0
900070,500365,2024-01-18,ATM,Branch,9516.67,Success,Fuel,0
900071,502165,2024-02-11,ATM,Mobile App,1670.05,Success,Education,0
900072,500965,2024-03-10,UPI,Mobile App,194.1,Failed,Utilities,0
900073,501095,2024-02-21,Bill Payment,Mobile App,1011.16,Success,Education,0
900074,500622,2024-03-21,IMPS,Branch,4742.23,Success,Restaurants,0
900075,500253,2024-03-29,Card,Mobile App,525.42,Success,Groceries,0
900076,500230,2024-04-02,UPI,Mobile App,1299.33,Success,Restaurants,0
900077,500133,2024-04-29,UPI,ATM,2564.81,Success,Education,0
900078,502054,2024-04-28,UPI,Mobile App,1380.86,Success,Travel,0
900079,501281,2024-02-01,UPI,Mobile App,1392.85,Success,Education,0
900080,500754,2024-01-22,Card,Mobile App,2939.7,Success,Electronics,0
900081,500402,2024-01-11,Card,Mobile App,826.48,Failed,Electronics,0
900082,501244,2024-02-13,UPI,UPI Partner,748.75,Success,Travel,0
900083,501385,2024-03-13,Bill Payment,Mobile App,887.94,Success,Utilities,0
900084,502148,2024-01-27,UPI,Mobile App,1569.36,Success,Groceries,0
900085,501409,2024-01-30,UPI,Internet Banking,1161.95,Success,Healthcare,0
900086,500257,2024-03-31,NEFT,Internet Banking,7150.38,Success,Utilities,0
900087,501950,2024-02-01,Card,Mobile App,4769.88,Success,Electronics,0
900088,502048,2024-03-07,Card,Mobile App,7204.97,Success,Healthcare,0
900089,500420,2024-02-09,Card,Internet Banking,1303.18,Success,Travel,0
900090,502004,2024-03-27,Card,ATM,1492.36,Success,Healthcare,0
900091,501222,2024-01-07,ATM,UPI Partner,3596.46,Success,Travel,0
900092,502187,2024-01-28,ATM,Mobile App,5383.7,Success,Restaurants,0
900093,500284,2024-04-19,ATM,Mobile App,1771.23,Success,Travel,0
900094,500127,2024-04-17,UPI,ATM,178.19,Success,Restaurants,0
900095,502119,2024-02-17,UPI,UPI Partner,1787.51,Success,Education,0
900096,500805,2024-03-24,ATM,Mobile App,1982.1,Success,Healthcare,0
900097,501837,2024-02-09,NEFT,Internet Banking,10307.0,Success,Electronics,0
900098,500964,2024-04-27,IMPS,Mobile App,6765.85,Success,Electronics,0
900099,501456,2024-01-09,NEFT,Mobile App,7747.36,Success,Fuel,0
900100,500765,2024-04-11,Card,Branch,1243.23,Reversed,Restaurants,0
900101,500413,2024-04-02,Card,Internet Banking,983.81,Success,Restaurants,0
900102,500980,2024-02-12,ATM,Mobile App,3345.23,Success,Restaurants,0
900103,502119,2024-03-12,IMPS,Mobile App,11267.16,Success,Groceries,0
900104,500199,2024-02-10,UPI,UPI Partner,1767.61,Success,Education,0
900105,501180,2024-03-20,UPI,Internet Banking,685.23,Success,Restaurants,0
900106,501155,2024-02-28,ATM,UPI Partner,8619.06,Success,Restaurants,0
900107,500502,2024-01-20,UPI,Internet Banking,3102.23,Success,Healthcare,0
900108,500269,2024-01-05,Card,UPI Partner,5076.29,Success,Travel,0
900109,500652,2024-03-21,Card,Branch,4576.01,Success,Healthcare,0
900110,500055,2024-04-08,UPI,Mobile App,1372.08,Success,Travel,0
900111,500687,2024-02-05,UPI,ATM,573.13,Success,Utilities,0
900112,500047,2024-02-06,UPI,Mobile App,199.89,Success,Restaurants,0
900113,501914,2024-03-13,Card,UPI Partner,2731.98,Reversed,Fuel,0
900114,501208,2024-02-29,UPI,Mobile App,2543.0,Success,Fuel,0
900115,500284,2024-01-18,IMPS,Mobile App,3589.25,Reversed,Groceries,0
900116,500829,2024-01-12,Card,Mobile App,3929.92,Success,Travel,0
900117,501390,2024-02-22,Card,Mobile App,3633.57,Success,Education,0
900118,500075,2024-01-10,Card,Mobile App,2600.94,Success,Healthcare,0
900119,500395,2024-02-09,IMPS,Mobile App,10036.29,Success,Education,0
900120,500442,2024-01-20,NEFT,Branch,36126.72,Success,Fuel,0
900121,501673,2024-03-22,UPI,Mobile App,5169.55,Success,Groceries,0
900122,502253,2024-02-24,NEFT,Internet Banking,4435.01,Success,Healthcare,0
900123,501216,2024-01-26,Bill Payment,UPI Partner,1430.47,Success,Fuel,0
900124,500519,2024-01-11,UPI,UPI Partner,795.68,Success,Groceries,0
900125,500068,2024-03-22,Bill Payment,ATM,1123.92,Success,Electronics,0
900126,501281,2024-03-22,ATM,Mobile App,7548.24,Success,Electronics,0
900127,501362,2024-03-12,ATM,Branch,2516.65,Success,Groceries,0
900128,501059,2024-03-17,Card,Internet Banking,2539.79,Success,Restaurants,0
900129,501397,2024-02-12,Bill Payment,ATM,1684.08,Success,Fuel,0
900130,501635,2024-01-30,Bill Payment,ATM,1202.41,Success,Fuel,0
900131,500237,2024-03-04,UPI,Mobile App,1327.2,Success,Electronics,0
900132,501885,2024-03-07,UPI,UPI Partner,644.6,Success,Utilities,0
900133,500386,2024-03-06,Bill Payment,UPI Partner,1276.0,Success,Healthcare,0
900134,502215,2024-01-11,NEFT,Internet Banking,24205.8,Success,Electronics,0
900135,500331,2024-03-10,UPI,Mobile App,278.72,Success,Restaurants,0
900136,500730,2024-01-12,IMPS,Mobile App,5840.08,Success,Fuel,0
900137,502041,2024-02-26,Card,Branch,2834.14,Success,Groceries,0
900138,502354,2024-01-06,UPI,Mobile App,238.04,Success,Electronics,0
900139,500121,2024-04-17,UPI,UPI Partner,449.23,Success,Groceries,0
900140,500901,2024-02-03,Card,Mobile App,2829.18,Success,Healthcare,0
900141,500915,2024-04-05,NEFT,Mobile App,9869.28,Reversed,Education,0
900142,500844,2024-04-17,UPI,Internet Banking,1232.0,Success,Electronics,0
900143,501248,2024-02-07,UPI,ATM,2132.96,Success,Healthcare,0
900144,502223,2024-03-15,Card,UPI Partner,7367.84,Success,Travel,0
900145,502199,2024-01-11,UPI,Mobile App,279.4,Failed,Education,0
900146,501150,2024-03-29,Card,Mobile App,7647.95,Success,Restaurants,0
900147,500084,2024-04-17,NEFT,Mobile App,7973.28,Success,Education,0
900148,500229,2024-04-14,ATM,Branch,2635.97,Success,Utilities,0
900149,502357,2024-03-03,IMPS,Mobile App,10021.57,Success,Electronics,0
900150,502154,2024-04-11,ATM,Internet Banking,2550.96,Success,Groceries,0
900151,500647,2024-03-03,UPI,ATM,225.62,Success,Education,0
900152,501836,2024-02-25,UPI,UPI Partner,344.06,Success,Travel,0
900153,502011,2024-02-07,UPI,ATM,422.69,Success,Fuel,0
900154,500447,2024-01-30,UPI,UPI Partner,827.17,Success,Restaurants,0
900155,500999,2024-01-01,UPI,Mobile App,921.2,Success,Electronics,0
900156,500822,2024-03-20,UPI,Mobile App,2035.8,Success,Travel,0
900157,500821,2024-01-30,Bill Payment,Branch,1896.95,Success,Restaurants,0
900158,500002,2024-02-13,NEFT,Mobile App,2122.08,Success,Travel,0
900159,500405,2024-03-04,UPI,UPI Partner,546.95,Success,Restaurants,0
900160,501318,2024-04-12,UPI,Mobile App,471.33,Success,Travel,0
900161,501258,2024-04-15,UPI,ATM,1328.31,Success,Restaurants,0
900162,501649,2024-01-26,Bill Payment,UPI Partner,2424.37,Success,Fuel,0
900163,501851,2024-02-18,Card,Mobile App,2476.5,Success,Utilities,0
900164,500291,2024-03-25,Card,Mobile App,1534.93,Success,Restaurants,0
900165,501609,2024-04-24,UPI,Mobile App,774.05,Success,Utilities,0
900166,501959,2024-03-04,Card,Mobile App,10015.89,Success,Fuel,0
900167,501766,2024-03-27,Card,ATM,2453.41,Success,Utilities,0
900168,501173,2024-01-06,IMPS,Mobile App,39520.49,Success,Utilities,0
900169,501919,2024-03-09,UPI,Branch,480.92,Success,Groceries,0
900170,501427,2024-02-25,Card,Internet Banking,1030.31,Reversed,Education,0
900171,501341,2024-03-25,NEFT,Mobile App,13237.73,Success,Fuel,0
900172,502236,2024-03-31,UPI,Mobile App,2429.15,Success,Restaurants,0
900173,500427,2024-01-14,UPI,ATM,1515.42,Success,Utilities,0
900174,500916,2024-03-13,UPI,Mobile App,952.49,Success,Restaurants,0
900175,500618,2024-04-14,Card,Mobile App,959.49,Success,Restaurants,0
900176,500141,2024-01-21,Bill Payment,Internet Banking,7867.17,Success,Restaurants,0
900177,500822,2024-02-10,ATM,ATM,289.31,Success,Groceries,0
900178,502187,2024-03-17,IMPS,Internet Banking,2235.3,Success,Utilities,0
900179,502306,2024-04-01,ATM,Mobile App,2386.49,Success,Travel,0
900180,501486,2024-02-19,UPI,Mobile App,120.68,Success,Electronics,0
900181,500882,2024-01-26,UPI,Mobile App,370.47,Success,Education,0
900182,502162,2024-03-05,UPI,Internet Banking,1208.15,Success,Travel,0
900183,501771,2024-02-24,Card,Mobile App,5984.29,Success,Electronics,0
900184,500557,2024-01-06,NEFT,Internet Banking,7653.17,Success,Education,0
900185,500904,2024-02-10,NEFT,Branch,36447.32,Success,Restaurants,0
900186,501567,2024-02-16,Card,Internet Banking,1351.82,Success,Restaurants,0
900187,501346,2024-01-29,UPI,UPI Partner,1719.09,Success,Education,0
900188,501463,2024-04-18,Card,Mobile App,5612.35,Success,Travel,0
900189,502354,2024-04-26,Bill Payment,ATM,1288.42,Failed,Restaurants,0
900190,502079,2024-04-04,IMPS,ATM,8223.46,Success,Electronics,0
900191,500671,2024-04-03,Card,Internet Banking,1227.04,Success,Utilities,0
900192,501310,2024-02-18,UPI,Mobile App,1227.19,Success,Education,0
900193,500195,2024-03-12,UPI,Mobile App,4314.35,Success,Fuel,0
900194,500947,2024-04-20,NEFT,UPI Partner,18639.05,Success,Education,0
900195,501072,2024-02-26,UPI,Mobile App,3646.86,Success,Utilities,0
900196,501339,2024-02-02,UPI,Internet Banking,534.32,Success,Education,0
900197,501793,2024-02-26,Card,Mobile App,5953.74,Success,Travel,0
900198,501253,2024-01-18,Bill Payment,UPI Partner,1617.03,Success,Utilities,0
900199,500142,2024-01-29,Card,ATM,2453.05,Success,Utilities,0
900200,500052,2024-02-10,Bill Payment,Mobile App,5159.9,Success,Education,0
900201,501552,2024-01-02,ATM,Mobile App,4304.43,Success,Travel,0
900202,501578,2024-01-08,Card,Branch,983.5,Success,Restaurants,0
900203,502286,2024-03-19,UPI,Mobile App,889.81,Success,Utilities,0
900204,500044,2024-02-13,UPI,Mobile App,1087.08,Success,Electronics,0
900205,500870,2024-01-25,UPI,Mobile App,889.49,Success,Fuel,0
900206,500719,2024-04-07,UPI,UPI Partner,1659.17,Success,Education,0
900207,500208,2024-03-05,UPI,Branch,1597.36,Success,Groceries,0
900208,501787,2024-04-25,UPI,UPI Partner,2874.25,Success,Education,0
900209,502202,2024-04-17,IMPS,Internet Banking,11806.78,Success,Utilities,0
900210,500989,2024-04-16,Bill Payment,Mobile App,957.77,Success,Fuel,0
900211,500251,2024-01-14,Card,Mobile App,6765.32,Success,Utilities,0
900212,501823,2024-04-07,Bill Payment,Internet Banking,1464.64,Success,Groceries,0
900213,500538,2024-02-01,NEFT,Mobile App,10786.91,Success,Fuel,0
900214,501595,2024-01-07,IMPS,ATM,6634.1,Success,Education,0
900215,501928,2024-03-03,UPI,Branch,789.51,Success,Electronics,0
900216,501664,2024-02-09,UPI,Mobile App,430.51,Success,Groceries,0
900217,501705,2024-02-29,UPI,Mobile App,247.42,Success,Utilities,0
900218,500121,2024-02-18,UPI,Mobile App,3468.45,Success,Restaurants,0
900219,500988,2024-04-19,ATM,Mobile App,225.57,Success,Utilities,0
900220,501094,2024-01-29,UPI,Mobile App,345.28,Success,Fuel,0
900221,500222,2024-02-11,ATM,ATM,1940.58,Success,Restaurants,0
900222,501887,2024-01-11,UPI,ATM,1212.91,Success,Groceries,0
900223,501210,2024-02-03,Bill Payment,Internet Banking,6428.5,Success,Utilities,0
900224,501512,2024-03-10,UPI,UPI Partner,611.64,Success,Utilities,0
900225,500087,2024-01-09,Card,Internet Banking,480.01,Success,Restaurants,0
900226,500345,2024-04-10,Card,ATM,1386.67,Success,Electronics,0
900227,500597,2024-03-07,UPI,Mobile App,6519.42,Success,Travel,0
900228,502162,2024-02-14,UPI,UPI Partner,1330.18,Success,Healthcare,0
900229,500244,2024-01-11,Card,UPI Partner,1233.66,Success,Healthcare,0
900230,500094,2024-02-27,Card,Internet Banking,6378.11,Success,Travel,0
900231,500400,2024-01-29,IMPS,UPI Partner,12205.9,Success,Electronics,0
900232,501737,2024-04-27,UPI,UPI Partner,365.58,Success,Travel,0
900233,500605,2024-04-09,Card,UPI Partner,5880.67,Success,Fuel,0
900234,501458,2024-01-10,Bill Payment,Mobile App,4664.77,Success,Groceries,0
900235,502135,2024-02-17,UPI,ATM,1563.45,Reversed,Utilities,0
900236,500936,2024-03-15,Card,Mobile App,408.12,Success,Utilities,0
900237,501515,2024-02-21,Card,ATM,5196.29,Success,Restaurants,0
900238,501492,2024-03-11,Card,Mobile App,1485.13,Success,Restaurants,0
900239,501778,2024-03-20,ATM,Mobile App,1947.99,Success,Groceries,0
900240,500795,2024-01-05,UPI,Mobile App,142.64,Success,Restaurants,0
900241,501575,2024-01-07,ATM,Mobile App,9822.08,Success,Restaurants,0
900242,500349,2024-02-09,UPI,Mobile App,2966.32,Success,Fuel,0
900243,501540,2024-03-22,ATM,Mobile App,3198.25,Success,Healthcare,0
900244,500238,2024-02-08,Card,Mobile App,1448.4,Success,Healthcare,0
900245,500922,2024-02-22,UPI,Internet Banking,687.17,Success,Travel,0
900246,502218,2024-01-30,UPI,Mobile App,1913.66,Success,Electronics,0
900247,500594,2024-02-09,IMPS,UPI Partner,2915.37,Success,Healthcare,0
900248,501626,2024-04-23,Bill Payment,UPI Partner,5776.0,Success,Restaurants,0
900249,501365,2024-01-11,UPI,Internet Banking,379.67,Success,Travel,0
900250,500427,2024-01-22,Bill Payment,Mobile App,475.65,Success,Restaurants,0
900251,502120,2024-01-16,UPI,Internet Banking,373.37,Success,Healthcare,0
900252,502017,2024-04-24,UPI,UPI Partner,1142.45,Success,Utilities,0
900253,501114,2024-03-26,IMPS,Internet Banking,3329.81,Failed,Travel,0
900254,500731,2024-04-12,UPI,Internet Banking,608.96,Success,Electronics,0
900255,501656,2024-04-10,UPI,Mobile App,2583.71,Success,Restaurants,0
900256,502015,2024-04-18,Card,Branch,5528.79,Success,Groceries,0
900257,501445,2024-04-14,UPI,Mobile App,743.63,Success,Education,0
900258,500234,2024-02-14,ATM,ATM,4145.64,Success,Education,0
900259,501302,2024-04-05,UPI,UPI Partner,1007.72,Success,Fuel,0
900260,501317,2024-01-27,UPI,Mobile App,1410.46,Success,Healthcare,0
900261,500010,2024-03-05,Bill Payment,Mobile App,2319.44,Success,Education,0
900262,501843,2024-03-07,UPI,Internet Banking,2342.95,Success,Healthcare,0
900263,500775,2024-02-21,Card,Mobile App,8481.81,Success,Utilities,0
900264,500767,2024-04-12,IMPS,Internet Banking,2071.87,Success,Groceries,0
900265,500651,2024-03-05,IMPS,Internet Banking,55442.88,Success,Education,1
900266,500785,2024-04-19,Card,Mobile App,706.91,Success,Healthcare,0
900267,501880,2024-03-05,UPI,Internet Banking,5309.1,Success,Electronics,0
900268,501847,2024-03-17,NEFT,Mobile App,39620.7,Success,Travel,0
900269,501680,2024-04-24,UPI,Mobile App,422.92,Success,Education,0
900270,501416,2024-01-20,UPI,Mobile App,2214.46,Success,Groceries,0
900271,502198,2024-03-07,UPI,Mobile App,1124.46,Success,Utilities,0
900272,500338,2024-04-24,NEFT,Mobile App,9794.98,Success,Education,0
900273,500919,2024-03-22,NEFT,Internet Banking,24184.87,Success,Utilities,0
900274,500347,2024-03-13,ATM,Internet Banking,1524.17,Success,Utilities,0
900275,500565,2024-02-15,UPI,Internet Banking,608.49,Success,Groceries,0
900276,502270,2024-02-12,IMPS,ATM,17375.22,Success,Healthcare,0
900277,501972,2024-04-13,UPI,UPI Partner,1631.16,Success,Education,0
900278,501898,2024-02-03,UPI,Internet Banking,2241.99,Success,Groceries,0
900279,501893,2024-03-07,IMPS,Internet Banking,33979.23,Success,Groceries,0
900280,500616,2024-01-19,UPI,UPI Partner,1929.34,Success,Electronics,0
900281,502189,2024-01-29,IMPS,ATM,2308.2,Success,Electronics,0
900282,502333,2024-01-07,ATM,UPI Partner,2287.13,Success,Fuel,0
900283,501432,2024-03-23,UPI,Internet Banking,640.06,Success,Electronics,0
900284,500308,2024-02-28,UPI,Mobile App,1495.65,Success,Healthcare,0
900285,500759,2024-02-21,Bill Payment,UPI Partner,9881.42,Success,Utilities,0
900286,500528,2024-01-06,UPI,Mobile App,239.17,Success,Restaurants,0
900287,501907,2024-01-22,UPI,Mobile App,625.75,Success,Restaurants,0
900288,501774,2024-02-19,UPI,Mobile App,1157.34,Failed,Electronics,0
900289,500824,2024-01-06,Card,Mobile App,3499.84,Success,Electronics,0
900290,502192,2024-03-14,Bill Payment,UPI Partner,3529.9,Success,Travel,0
900291,500540,2024-01-20,Card,Mobile App,1616.47,Success,Utilities,0
900292,502292,2024-04-02,NEFT,Mobile App,40904.14,Success,Electronics,0
900293,500633,2024-02-03,ATM,Mobile App,8321.85,Success,Electronics,0
900294,500274,2024-02-07,Bill Payment,Mobile App,2948.58,Success,Travel,0
900295,501056,2024-02-01,IMPS,Mobile App,8263.88,Success,Electronics,0
900296,500564,2024-02-28,UPI,ATM,1655.7,Success,Fuel,0
900297,500430,2024-01-21,ATM,UPI Partner,6009.31,Success,Restaurants,0
900298,500505,2024-02-23,Card,Mobile App,526.09,Success,Healthcare,0
900299,500183,2024-02-05,UPI,UPI Partner,1536.94,Success,Utilities,0
900300,502131,2024-04-05,ATM,Internet Banking,2908.45,Success,Electronics,0
900301,500971,2024-02-03,Bill Payment,Mobile App,7013.9,Success,Restaurants,0
900302,500072,2024-04-08,UPI,Internet Banking,183.72,Success,Education,0
900303,502091,2024-04-28,Card,Mobile App,2334.33,Success,Restaurants,0
900304,500040,2024-04-15,IMPS,Mobile App,9285.51,Success,Groceries,0
900305,501070,2024-01-17,Card,Mobile App,2667.52,Success,Fuel,0
900306,500520,2024-02-05,ATM,Branch,5807.51,Success,Groceries,0
900307,500112,2024-03-13,IMPS,ATM,6787.7,Success,Groceries,0
900308,500645,2024-03-19,Card,Mobile App,887.02,Success,Education,0
900309,501600,2024-02-05,UPI,ATM,1015.35,Success,Fuel,0
900310,501166,2024-01-07,Card,Internet Banking,10752.46,Success,Healthcare,0
900311,501269,2024-04-17,UPI,Mobile App,5078.18,Success,Utilities,0
900312,500314,2024-03-17,UPI,UPI Partner,385.86,Success,Groceries,0
900313,500025,2024-01-14,IMPS,Mobile App,27841.55,Success,Utilities,0
900314,501620,2024-02-05,Card,Mobile App,1497.41,Success,Utilities,0
900315,501242,2024-01-01,Card,Mobile App,4131.27,Success,Travel,0
900316,502092,2024-01-07,IMPS,Branch,2710.05,Success,Restaurants,0
900317,500515,2024-01-04,Card,Internet Banking,1214.17,Success,Education,0
900318,501945,2024-02-25,UPI,Internet Banking,501.54,Success,Education,0
900319,500841,2024-03-22,UPI,ATM,4261.86,Success,Healthcare,0
900320,501142,2024-04-19,IMPS,Branch,2925.45,Success,Fuel,0
900321,500475,2024-04-17,UPI,Mobile App,904.97,Success,Electronics,0
900322,500830,2024-02-27,UPI,Mobile App,1413.54,Success,Healthcare,0
900323,501719,2024-01-24,IMPS,Mobile App,16188.86,Success,Restaurants,0
900324,501840,2024-04-26,Bill Payment,Branch,3539.12,Success,Education,0
900325,500530,2024-01-29,UPI,UPI Partner,864.88,Success,Healthcare,0
900326,500383,2024-01-02,IMPS,Mobile App,4784.91,Success,Travel,0
900327,500574,2024-04-01,IMPS,Mobile App,7394.44,Reversed,Groceries,0
900328,500741,2024-01-13,Card,Mobile App,2379.16,Failed,Travel,0
900329,500959,2024-02-27,UPI,UPI Partner,1645.51,Success,Fuel,0
900330,501250,2024-03-31,ATM,Mobile App,2862.06,Success,Travel,0
900331,500777,2024-02-24,Card,UPI Partner,1273.22,Success,Healthcare,0
900332,501069,2024-02-04,Card,Internet Banking,2569.9,Success,Groceries,0
900333,501774,2024-01-11,NEFT,Mobile App,7570.56,Success,Travel,0
900334,501027,2024-02-23,UPI,ATM,933.35,Success,Groceries,0
900335,500184,2024-03-21,UPI,Mobile App,4931.05,Success,Electronics,0
900336,500270,2024-01-07,UPI,Mobile App,127.03,Success,Groceries,0
900337,500720,2024-02-21,Card,ATM,6320.27,Success,Travel,0
900338,500727,2024-02-17,UPI,Internet Banking,697.92,Success,Education,0
900339,501274,2024-03-11,UPI,Mobile App,1304.08,Success,Fuel,0
900340,500150,2024-04-08,UPI,Mobile App,1670.08,Success,Utilities,0
900341,500196,2024-02-25,NEFT,UPI Partner,15011.28,Success,Electronics,0
900342,502280,2024-04-03,UPI,Mobile App,359.16,Success,Electronics,0
900343,500966,2024-04-29,Card,Internet Banking,1259.49,Success,Education,0
900344,500262,2024-03-09,NEFT,UPI Partner,53195.5,Success,Electronics,0
900345,500417,2024-01-07,Card,Mobile App,3879.45,Success,Utilities,0
900346,501959,2024-02-20,NEFT,Mobile App,24340.84,Success,Travel,0
900347,502311,2024-04-21,UPI,Branch,1270.85,Success,Utilities,0
900348,501647,2024-01-15,Bill Payment,Mobile App,4093.67,Success,Healthcare,0
900349,501714,2024-03-02,ATM,Mobile App,3694.34,Success,Travel,0
900350,500105,2024-04-21,Bill Payment,ATM,1087.02,Success,Fuel,0
900351,500931,2024-03-27,IMPS,Branch,12499.77,Success,Utilities,0
900352,500158,2024-03-28,UPI,UPI Partner,1563.09,Success,Education,0
900353,500667,2024-03-08,UPI,Mobile App,744.03,Success,Utilities,0
900354,500263,2024-04-25,UPI,Mobile App,368.63,Success,Electronics,0
900355,501645,2024-03-18,NEFT,Mobile App,4436.93,Success,Healthcare,0
900356,501499,2024-03-09,ATM,Mobile App,2182.85,Success,Groceries,0
900357,502107,2024-03-02,UPI,Mobile App,925.09,Failed,Fuel,0
900358,502009,2024-01-04,UPI,Mobile App,437.21,Success,Education,0
900359,500313,2024-01-06,UPI,Mobile App,4999.68,Success,Groceries,0
900360,500586,2024-02-24,UPI,Mobile App,917.54,Success,Groceries,0
900361,501749,2024-01-15,UPI,Mobile App,1394.01,Success,Electronics,0
900362,501681,2024-04-24,UPI,ATM,459.7,Success,Restaurants,0
900363,500295,2024-02-28,IMPS,Internet Banking,25498.12,Success,Healthcare,0
900364,501703,2024-03-12,Card,Mobile App,3945.39,Failed,Healthcare,0
900365,500887,2024-03-31,NEFT,UPI Partner,5276.55,Success,Education,0
900366,500602,2024-02-19,IMPS,UPI Partner,11127.93,Success,Groceries,0
