customer_id,customer_name,age,gender,city,segment,signup_date,preferred_channel,risk_score
100023,Customer_100023,45,Female,Bangalore,Self Employed,2022-03-27,Internet Banking,30.63
100024,Customer_100024,38,Male,Delhi,Salaried,2022-01-17,Branch,80.16
100025,Customer_100025,24,Male,Delhi,Salaried,2024-01-15,Internet Banking,30.46
100026,Customer_100026,27,Male,Hyderabad,Small Business,2022-11-26,UPI Partner,49.58
100027,Customer_100027,64,Female,Chennai,Small Business,2023-09-22,UPI Partner,59.68
100028,Customer_100028,21,Male,Pune,Self Employed,2022-10-24,UPI Partner,57.83
100029,Customer_100029,36,Female,Hyderabad,Student,2023-09-08,Internet Banking,66.48
100030,Customer_100030,53,Female,Pune,Salaried,2023-09-15,Mobile App,49.86
100031,Customer_100031,44,Female,Bangalore,Small Business,2023-06-12,Internet Banking,74.44
100032,Customer_100032,48,Male,Bangalore,Retired,2022-02-08,UPI Partner,41.13
100033,Customer_100033,27,Female,Hyderabad,Retired,2023-03-10,Mobile App,34.65
100034,Customer_100034,46,Female,Hyderabad,Salaried,2022-01-15,Mobile App,62.65
100035,Customer_100035,64,Female,Hyderabad,Self Employed,2023-11-21,Mobile App,39.47
100036,Customer_100036,31,Female,Delhi,Retired,2022-12-05,Mobile App,50.34
100037,Customer_100037,48,Female,Mumbai,Salaried,2023-01-11,Mobile App,70.13
100038,Customer_100038,35,Male,Hyderabad,Salaried,2024-02-20,Branch,72.92
100039,Customer_100039,28,Male,Delhi,Student,2024-03-12,UPI Partner,65.03
100040,Customer_100040,36,Male,Bangalore,Salaried,2024-03-18,Branch,49.27
100041,Customer_100041,21,Male,Bangalore,Self Employed,2022-03-28,UPI Partner,56.06
100042,Customer_100042,61,Female,Chennai,Salaried,2023-10-19,Mobile App,35.94
100043,Customer_100043,48,Female,Chennai,Retired,2022-03-20,Internet Banking,88.58
100044,Customer_100044,52,Male,Bangalore,Salaried,2023-05-15,Mobile App,81.66
100045,Customer_100045,26,Female,Bangalore,Salaried,2023-02-06,Mobile App,64.07
100046,Customer_100046,28,Female,Chennai,Salaried,2023-04-11,Branch,33.33
100047,Customer_100047,56,Female,Hyderabad,Student,2022-05-10,UPI Partner,63.29
100048,Customer_100048,22,Male,Ahmedabad,Salaried,2023-07-17,UPI Partner,41.37
100049,Customer_100049,24,Male,Bangalore,Student,2022-02-08,UPI Partner,63.35
100050,Customer_100050,29,Male,Mumbai,Self Employed,2022-06-02,Mobile App,47.39
100051,Customer_100051,44,Female,Chennai,Retired,2023-07-22,Internet Banking,77.25
100052,Customer_100052,38,Female,Kolkata,Salaried,2023-04-29,Internet Banking,50.2
100053,Customer_100053,25,Male,Delhi,Retired,2022-10-09,Mobile App,22.65
100054,Customer_100054,29,Female,Mumbai,Small Business,2022-04-23,UPI Partner,73.35
100055,Customer_100055,53,Female,Bangalore,Salaried,2022-06-25,Branch,35.33
100056,Customer_100056,35,Male,Hyderabad,Salaried,2023-09-07,Branch,39.58
100057,Customer_100057,40,Male,Bangalore,Student,2023-03-16,Internet Banking,18.2
100058,Customer_100058,46,Female,Kolkata,Salaried,2022-11-21,Mobile App,88.82
100059,Customer_100059,47,Female,Ahmedabad,Retired,2023-11-16,Mobile App,67.83
100060,Customer_100060,59,Male,Delhi,Salaried,2022-03-15,Internet Banking,54.0
100061,Customer_100061,38,Male,Mumbai,Small Business,2023-02-22,Mobile App,76.78
100062,Customer_100062,64,Female,Pune,Small Business,2022-07-29,Internet Banking,52.31
100063,Customer_100063,39,Female,Delhi,Salaried,2023-05-12,Internet Banking,68.33
100064,Customer_100064,31,Female,Mumbai,Salaried,2022-09-19,Internet Banking,65.01
100065,Customer_100065,53,Male,Hyderabad,Student,2022-03-12,UPI Partner,77.09
100066,Customer_100066,61,Male,Bangalore,Student,2022-12-08,Internet Banking,59.22
100067,Customer_100067,29,Male,Hyderabad,Salaried,2023-09-26,Internet Banking,38.0
100068,Customer_100068,25,Female,Delhi,Small Business,2022-04-12,Internet Banking,39.85
100069,Customer_100069,54,Female,Chennai,Retired,2022-12-19,UPI Partner,28.74
100070,Customer_100070,22,Male,Hyderabad,Salaried,2023-03-29,Mobile App,39.8
100071,Customer_100071,52,Female,Bangalore,Self Employed,2023-11-06,UPI Partner,36.25
100072,Customer_100072,62,Female,Delhi,Salaried,2023-03-26,Branch,68.17
100073,Customer_100073,32,Female,Bangalore,Retired,2022-10-03,UPI Partner,35.89
100074,Customer_100074,55,Female,Mumbai,Salaried,2022-08-20,UPI Partner,41.68
100075,Customer_100075,29,Female,Bangalore,Student,2022-11-25,Mobile App,12.42
100076,Customer_100076,40,Male,Chennai,Salaried,2022-07-10,UPI Partner,51.79
100077,Customer_100077,53,Female,Chennai,Salaried,2022-09-08,UPI Partner,11.18
100078,Customer_100078,41,Male,Delhi,Salaried,2023-10-28,UPI Partner,77.85
100079,Customer_100079,39,Male,Delhi,Small Business,2023-01-11,UPI Partner,60.04
100080,Customer_100080,29,Female,Chennai,Salaried,2022-11-16,Internet Banking,51.67
100081,Customer_100081,59,Male,Delhi,Self Employed,2023-06-22,UPI Partner,45.43
100082,Customer_100082,60,Female,Mumbai,Small Business,2022-11-27,Branch,60.17
100083,Customer_100083,55,Male,Hyderabad,Salaried,2022-09-06,Mobile App,54.77
100084,Customer_100084,52,Female,Hyderabad,Salaried,2022-10-19,Internet Banking,53.63
100085,Customer_100085,57,Male,Pune,Salaried,2023-08-28,Mobile App,74.0
100086,Customer_100086,25,Female,Bangalore,Student,2022-01-17,Branch,67.11
100087,Customer_100087,49,Male,Bangalore,Salaried,2023-07-26,Branch,58.16
100088,Customer_100088,34,Female,Hyderabad,Retired,2022-04-04,UPI Partner,81.18
100089,Customer_100089,22,Female,Hyderabad,Salaried,2024-02-25,Branch,80.68
100090,Customer_100090,47,Female,Hyderabad,Small Business,2023-02-04,Branch,69.75
100091,Customer_100091,42,Male,Mumbai,Student,2022-03-26,Internet Banking,57.35
100092,Customer_100092,41,Male,Delhi,Self Employed,2024-03-19,Branch,67.86
100093,Customer_100093,63,Male,Mumbai,Self Employed,2024-02-01,Branch,47.7
100094,Customer_100094,38,Male,Hyderabad,Salaried,2024-03-07,Mobile App,39.56
100095,Customer_100095,38,Female,Mumbai,Student,2022-06-23,Mobile App,48.32
100096,Customer_100096,25,Female,Mumbai,Salaried,2023-01-07,Internet Banking,58.44
100097,Customer_100097,31,Male,Mumbai,Self Employed,2023-04-27,Internet Banking,19.59
100098,Customer_100098,60,Male,Pune,Salaried,2022-09-04,Branch,59.22
100099,Customer_100099,56,Male,Delhi,Retired,2024-01-13,UPI Partner,65.19
100100,Customer_100100,42,Male,Mumbai,Salaried,2022-08-19,Mobile App,79.97
100101,Customer_100101,24,Female,Pune,Student,2022-03-23,UPI Partner,66.76
100102,Customer_100102,56,Female,Delhi,Retired,2022-10-18,Mobile App,47.63
100103,Customer_100103,38,Male,Chennai,Student,2022-02-20,Internet Banking,73.97
100104,Customer_100104,27,Male,Ahmedabad,Small Business,2023-06-13,UPI Partner,68.27
100105,Customer_100105,61,Male,Mumbai,Self Employed,2023-06-17,Mobile App,70.27
100106,Customer_100106,22,Male,Chennai,Self Employed,2023-10-10,Mobile App,59.94
100107,Customer_100107,60,Female,Hyderabad,Salaried,2023-07-13,Branch,62.09
100108,Customer_100108,57,Male,Pune,Student,2023-06-27,UPI Partner,58.67
100109,Customer_100109,29,Male,Hyderabad,Salaried,2023-04-02,Mobile App,56.95
100110,Customer_100110,26,Female,Chennai,Self Employed,2022-11-10,Internet Banking,25.99
100111,Customer_100111,58,Male,Hyderabad,Student,2023-06-14,UPI Partner,75.95
100112,Customer_100112,48,Male,Bangalore,Salaried,2024-02-14,UPI Partner,48.87
100113,Customer_100113,50,Male,Bangalore,Salaried,2022-05-05,UPI Partner,85.08
100114,Customer_100114,42,Male,Delhi,Student,2023-08-06,Branch,56.83
100115,Customer_100115,44,Male,Pune,Student,2023-01-28,Internet Banking,31.53
100116,Customer_100116,31,Male,Mumbai,Salaried,2022-01-27,UPI Partner,63.59
100117,Customer_100117,21,Female,Mumbai,Student,2023-03-23,Internet Banking,42.62
100118,Customer_100118,37,Female,Mumbai,Salaried,2024-01-25,Branch,48.99
100119,Customer_100119,44,Male,Bangalore,Salaried,2023-06-20,Mobile App,66.11
100120,Customer_100120,64,Female,Chennai,Student,2023-05-08,Mobile App,63.95
100121,Customer_100121,33,Female,Chennai,Salaried,2022-10-24,Internet Banking,48.66
100122,Customer_100122,25,Female,Bangalore,Salaried,2023-02-24,Branch,42.66
100123,Customer_100123,55,Female,Ahmedabad,Salaried,2022-02-21,Internet Banking,27.09
100124,Customer_100124,25,Female,Pune,Salaried,2023-07-02,UPI Partner,69.87
100125,Customer_100125,55,Female,Hyderabad,Salaried,2023-07-08,Mobile App,64.29
100126,Customer_100126,49,Female,Chennai,Self Employed,2022-10-14,Internet Banking,28.42
100127,Customer_100127,44,Female,Bangalore,Salaried,2022-07-25,UPI Partner,43.68
100128,Customer_100128,38,Male,Hyderabad,Self Employed,2022-04-28,UPI Partner,36.02
100129,Customer_100129,42,Male,Bangalore,Salaried,2022-09-07,Internet Banking,88.1
100130,Customer_100130,54,Male,Hyderabad,Student,2022-04-19,Internet Banking,45.09
100131,Customer_100131,56,Male,Pune,Small Business,2024-01-10,Mobile App,80.39
100132,Customer_100132,35,Male,Hyderabad,Salaried,2023-08-17,Internet Banking,98.58
100133,Customer_100133,23,Female,Bangalore,Student,2024-02-18,Mobile App,56.5
100134,Customer_100134,40,Female,Mumbai,Small Business,2022-01-21,Mobile App,16.32
100135,Customer_100135,40,Female,Mumbai,Salaried,2023-04-09,Branch,82.3
100136,Customer_100136,39,Male,Hyderabad,Salaried,2022-09-02,Internet Banking,40.96
100137,Customer_100137,64,Male,Pune,Student,2022-09-21,Branch,58.94
100138,Customer_100138,51,Female,Chennai,Student,2023-02-28,Internet Banking,65.79
100139,Customer_100139,36,Male,Mumbai,Retired,2022-11-15,UPI Partner,28.67
100140,Customer_100140,53,Male,Chennai,Salaried,2022-04-09,Mobile App,29.87
100141,Customer_100141,45,Male,Hyderabad,Self Employed,2022-09-13,Internet Banking,23.28
100142,Customer_100142,64,Male,Pune,Salaried,2024-02-22,UPI Partner,60.01
100143,Customer_100143,40,Male,Delhi,Retired,2024-01-03,Branch,43.49
100144,Customer_100144,44,Male,Pune,Salaried,2023-04-01,UPI Partner,44.08
100145,Customer_100145,30,Male,Delhi,Salaried,2022-04-03,UPI Partner,25.16
100146,Customer_100146,28,Female,Hyderabad,Salaried,2023-07-31,Internet Banking,74.09
100147,Customer_100147,34,Female,Kolkata,Self Employed,2023-12-17,Mobile App,33.41
100148,Customer_100148,55,Male,Chennai,Self Employed,2022-06-19,Mobile App,92.16
100149,Customer_100149,33,Female,Kolkata,Small Business,2023-09-04,Mobile App,42.28
100150,Customer_100150,48,Male,Ahmedabad,Retired,2022-06-15,UPI Partner,55.06
100151,Customer_100151,63,Female,Delhi,Retired,2024-02-10,Internet Banking,31.17
100152,Customer_100152,63,Male,Ahmedabad,Salaried,2022-01-10,Mobile App,42.32
100153,Customer_100153,38,Female,Bangalore,Self Employed,2022-11-30,Mobile App,78.33
100154,Customer_100154,38,Female,Hyderabad,Self Employed,2022-11-20,Mobile App,67.17
100155,Customer_100155,33,Male,Bangalore,Salaried,2022-12-24,UPI Partner,43.21
100156,Customer_100156,32,Female,Hyderabad,Salaried,2022-04-23,Mobile App,83.35
100157,Customer_100157,42,Female,Kolkata,Small Business,2022-06-12,Branch,63.92
100158,Customer_100158,64,Male,Hyderabad,Small Business,2023-02-01,Mobile App,30.5
100159,Customer_100159,51,Male,Kolkata,Salaried,2022-03-27,Internet Banking,85.88
100160,Customer_100160,38,Male,Delhi,Student,2023-05-31,UPI Partner,9.12
100161,Customer_100161,48,Female,Delhi,Salaried,2022-05-31,Mobile App,40.71
100162,Customer_100162,59,Male,Pune,Self Employed,2023-07-16,Internet Banking,81.98
100163,Customer_100163,39,Male,Chennai,Salaried,2022-09-26,Internet Banking,92.17
100164,Customer_100164,22,Male,Delhi,Small Business,2022-04-29,Branch,53.44
100165,Customer_100165,51,Male,Hyderabad,Student,2024-02-07,Internet Banking,42.43
100166,Customer_100166,59,Female,Delhi,Self Employed,2022-01-03,Branch,22.72
100167,Customer_100167,51,Male,Mumbai,Self Employed,2022-02-25,Branch,60.22
100168,Customer_100168,30,Female,Hyderabad,Self Employed,2024-02-21,Internet Banking,64.83
100169,Customer_100169,47,Female,Bangalore,Self Employed,2022-07-02,Internet Banking,87.15
100170,Customer_100170,46,Female,Pune,Salaried,2023-01-05,Mobile App,67.11
100171,Customer_100171,50,Male,Bangalore,Student,2022-02-19,Internet Banking,75.4
100172,Customer_100172,56,Female,Chennai,Salaried,2022-11-22,Internet Banking,39.64
100173,Customer_100173,41,Female,Mumbai,Salaried,2023-03-29,Internet Banking,33.38
100174,Customer_100174,48,Female,Hyderabad,Self Employed,2022-06-21,Internet Banking,28.01
100175,Customer_100175,25,Male,Hyderabad,Salaried,2022-10-01,Internet Banking,69.94
100176,Customer_100176,26,Male,Ahmedabad,Self Employed,2022-02-11,UPI Partner,23.43
100177,Customer_100177,40,Male,Delhi,Salaried,2023-12-16,Internet Banking,49.72
100178,Customer_100178,22,Male,Bangalore,Salaried,2022-01-09,Mobile App,64.57
100179,Customer_100179,63,Male,Hyderabad,Self Employed,2022-11-08,UPI Partner,38.45
100180,Customer_100180,42,Female,Hyderabad,Salaried,2022-12-06,Mobile App,45.63
100181,Customer_100181,46,Male,Bangalore,Student,2022-02-13,Mobile App,61.08
100182,Customer_100182,55,Female,Bangalore,Small Business,2024-03-20,Mobile App,50.19
100183,Customer_100183,21,Female,Kolkata,Small Business,2022-10-23,Mobile App,42.12
100184,Customer_100184,28,Female,Hyderabad,Salaried,2022-03-06,Branch,79.34
100185,Customer_100185,22,Male,Delhi,Salaried,2024-01-26,Internet Banking,36.48
100186,Customer_100186,37,Male,Bangalore,Salaried,2023-10-01,UPI Partner,67.06
100187,Customer_100187,35,Female,Bangalore,Salaried,2024-01-13,Mobile App,37.19
100188,Customer_100188,23,Male,Chennai,Small Business,2023-03-19,Branch,41.28
100189,Customer_100189,23,Male,Hyderabad,Salaried,2022-10-17,Branch,59.61
100190,Customer_100190,49,Female,Bangalore,Salaried,2022-11-18,Internet Banking,61.94
100191,Customer_100191,56,Male,Mumbai,Salaried,2023-05-02,Mobile App,52.4
100192,Customer_100192,54,Male,Bangalore,Salaried,2022-07-07,UPI Partner,38.94
100193,Customer_100193,64,Male,Hyderabad,Small Business,2022-02-08,UPI Partner,71.87
100194,Customer_100194,31,Female,Mumbai,Retired,2023-04-06,Internet Banking,66.45
100195,Customer_100195,64,Female,Hyderabad,Self Employed,2023-02-06,Internet Banking,72.77
100196,Customer_100196,21,Female,Ahmedabad,Small Business,2022-04-26,Branch,60.47
100197,Customer_100197,54,Male,Hyderabad,Small Business,2022-03-12,Internet Banking,65.22
100198,Customer_100198,44,Female,Delhi,Salaried,2022-07-13,Internet Banking,53.84
100199,Customer_100199,45,Male,Mumbai,Self Employed,2022-01-21,UPI Partner,45.73
100200,Customer_100200,50,Female,Delhi,Retired,2022-10-19,Branch,44.1
100201,Customer_100201,32,Female,Bangalore,Retired,2023-02-11,Mobile App,84.88
100202,Customer_100202,60,Male,Pune,Student,2023-03-17,Internet Banking,26.96
100203,Customer_100203,35,Female,Delhi,Salaried,2022-08-10,Internet Banking,56.08
100204,Customer_100204,41,Male,Delhi,Salaried,2022-06-24,Internet Banking,54.65
100205,Customer_100205,21,Male,Delhi,Student,2023-02-22,Internet Banking,61.07
100206,Customer_100206,22,Male,Hyderabad,Salaried,2023-04-02,UPI Partner,40.15
100207,Customer_100207,30,Male,Delhi,Self Employed,2023-01-05,Internet Banking,53.07
100208,Customer_100208,42,Male,Pune,Small Business,2023-05-13,Branch,76.93
100209,Customer_100209,59,Female,Chennai,Retired,2023-06-17,Branch,51.58
100210,Customer_100210,60,Male,Hyderabad,Salaried,2023-08-03,Mobile App,44.56
100211,Customer_100211,51,Female,Bangalore,Self Employed,2022-10-07,Mobile App,76.44
100212,Customer_100212,60,Female,Hyderabad,Salaried,2024-01-08,UPI Partner,54.86
100213,Customer_100213,49,Male,Chennai,Retired,2022-04-01,Branch,50.9
100214,Customer_100214,26,Male,Kolkata,Small Business,2023-08-23,Internet Banking,34.05
100215,Customer_100215,62,Male,Chennai,Student,2022-01-02,Branch,57.88
100216,Customer_100216,56,Female,Hyderabad,Small Business,2022-08-04,Mobile App,51.56
100217,Customer_100217,34,Male,Mumbai,Self Employed,2023-04-05,UPI Partner,44.89
100218,Customer_100218,35,Male,Bangalore,Small Business,2022-07-04,Mobile App,56.31
100219,Customer_100219,54,Female,Chennai,Salaried,2022-07-27,UPI Partner,53.28
100220,Customer_100220,57,Female,Chennai,Salaried,2022-07-14,Mobile App,12.68
100221,Customer_100221,44,Female,Chennai,Salaried,2022-11-14,Internet Banking,50.94
100222,Customer_100222,64,Female,Hyderabad,Small Business,2023-06-16,Branch,53.01
100223,Customer_100223,51,Female,Chennai,Salaried,2023-04-17,Mobile App,62.83
100224,Customer_100224,45,Male,Hyderabad,Student,2022-10-02,Branch,60.6
100225,Customer_100225,47,Male,Bangalore,Retired,2023-07-10,Mobile App,71.65
100226,Customer_100226,51,Female,Kolkata,Salaried,2023-10-08,Mobile App,81.96
100227,Customer_100227,64,Female,Bangalore,Self Employed,2022-05-28,UPI Partner,63.92
100228,Customer_100228,64,Female,Bangalore,Self Employed,2023-09-25,Mobile App,64.19
100229,Customer_100229,24,Female,Pune,Student,2022-10-18,UPI Partner,38.0
100230,Customer_100230,37,Female,Hyderabad,Salaried,2022-10-15,Branch,53.16
100231,Customer_100231,56,Female,Bangalore,Self Employed,2022-11-30,Branch,67.78
100232,Customer_100232,62,Female,Bangalore,Small Business,2023-05-23,UPI Partner,42.63
100233,Customer_100233,22,Female,Delhi,Small Business,2023-04-22,Branch,71.77
100234,Customer_100234,43,Female,Mumbai,Student,2023-07-19,Branch,41.14
100235,Customer_100235,52,Female,Mumbai,Self Employed,2023-11-27,Branch,85.47
100236,Customer_100236,24,Female,Bangalore,Student,2023-11-30,Mobile App,36.14
100237,Customer_100237,47,Male,Kolkata,Student,2022-06-19,Internet Banking,18.38
100238,Customer_100238,26,Male,Kolkata,Self Employed,2024-01-15,Mobile App,60.26
100239,Customer_100239,36,Male,Bangalore,Salaried,2022-09-23,UPI Partner,53.37
100240,Customer_100240,54,Male,Mumbai,Salaried,2022-06-21,Internet Banking,44.11
100241,Customer_100241,50,Female,Bangalore,Salaried,2023-03-30,Branch,69.66
100242,Customer_100242,55,Male,Mumbai,Small Business,2023-07-24,Internet Banking,46.45
100243,Customer_100243,25,Female,Mumbai,Student,2023-12-01,Branch,74.91
100244,Customer_100244,44,Male,Delhi,Student,2023-09-19,UPI Partner,79.92
100245,Customer_100245,52,Male,Kolkata,Salaried,2023-08-04,Branch,40.93
100246,Customer_100246,34,Female,Pune,Small Business,2024-01-25,Internet Banking,95.03
100247,Customer_100247,36,Female,Bangalore,Salaried,2023-02-24,Mobile App,41.67
100248,Customer_100248,54,Female,Hyderabad,Small Business,2023-12-02,Mobile App,61.91
100249,Customer_100249,38,Male,Bangalore,Small Business,2022-12-25,Mobile App,76.37
100250,Customer_100250,26,Male,Hyderabad,Self Employed,2023-07-23,Mobile App,59.92
100251,Customer_100251,56,Female,Chennai,Self Employed,2022-12-29,Internet Banking,67.7
100252,Customer_100252,64,Female,Chennai,Self Employed,2022-10-03,Mobile App,50.33
100253,Customer_100253,61,Female,Mumbai,Self Employed,2022-07-25,Internet Banking,27.16
100254,Customer_100254,62,Male,Delhi,Retired,2023-07-27,Branch,64.75
100255,Customer_100255,63,Male,Hyderabad,Self Employed,2022-06-14,Internet Banking,64.45
100256,Customer_100256,43,Male,Hyderabad,Self Employed,2023-08-15,Branch,42.49
100257,Customer_100257,57,Male,Bangalore,Small Business,2023-06-17,UPI Partner,64.44
100258,Customer_100258,52,Male,Hyderabad,Small Business,2022-08-29,UPI Partner,56.84
100259,Customer_100259,42,Male,Chennai,Salaried,2022-05-29,Internet Banking,71.09
100260,Customer_100260,59,Male,Chennai,Retired,2023-02-06,Internet Banking,85.14
100261,Customer_100261,64,Male,Hyderabad,Student,2022-07-25,UPI Partner,45.49
100262,Customer_100262,53,Male,Mumbai,Self Employed,2023-03-13,UPI Partner,45.98
100263,Customer_100263,46,Female,Pune,Salaried,2023-06-27,UPI Partner,69.46
100264,Customer_100264,24,Male,Ahmedabad,Salaried,2023-05-22,Mobile App,67.18
100265,Customer_100265,35,Female,Mumbai,Retired,2022-04-13,Branch,65.71
100266,Customer_100266,50,Male,Delhi,Salaried,2022-05-13,Branch,48.81
100267,Customer_100267,46,Male,Delhi,Salaried,2022-07-15,Internet Banking,55.85
100268,Customer_100268,26,Male,Mumbai,Salaried,2022-11-28,Mobile App,78.09
100269,Customer_100269,64,Female,Chennai,Self Employed,2024-02-21,UPI Partner,55.3
100270,Customer_100270,38,Female,Kolkata,Salaried,2022-06-24,Branch,56.17
100271,Customer_100271,57,Female,Bangalore,Salaried,2022-12-15,Branch,54.2
100272,Customer_100272,23,Male,Pune,Student,2022-01-24,Mobile App,35.86
100273,Customer_100273,27,Male,Kolkata,Salaried,2022-02-18,UPI Partner,52.54
100274,Customer_100274,29,Female,Mumbai,Small Business,2022-12-23,Internet Banking,51.4
100275,Customer_100275,34,Female,Kolkata,Student,2023-04-29,Internet Banking,65.28
100276,Customer_100276,42,Female,Pune,Self Employed,2023-05-10,Branch,71.52
100277,Customer_100277,60,Female,Bangalore,Salaried,2024-01-03,UPI Partner,34.23
100278,Customer_100278,30,Male,Bangalore,Small Business,2023-07-31,Branch,69.76
100279,Customer_100279,41,Female,Delhi,Salaried,2022-11-09,Internet Banking,50.47
100280,Customer_100280,57,Female,Bangalore,Salaried,2022-03-14,UPI Partner,48.83
100281,Customer_100281,62,Male,Mumbai,Small Business,2022-10-27,Internet Banking,32.01
100282,Customer_100282,23,Female,Hyderabad,Salaried,2024-01-24,UPI Partner,79.59
100283,Customer_100283,40,Male,Pune,Small Business,2023-02-17,UPI Partner,48.21
100284,Customer_100284,61,Female,Bangalore,Retired,2024-01-28,Internet Banking,71.55
100285,Customer_100285,60,Female,Hyderabad,Salaried,2023-08-17,Mobile App,61.69
100286,Customer_100286,50,Male,Delhi,Student,2022-06-04,Internet Banking,14.76
100287,Customer_100287,32,Male,Bangalore,Salaried,2023-09-18,Branch,16.14
100288,Customer_100288,42,Female,Ahmedabad,Small Business,2022-07-06,Mobile App,69.55
100289,Customer_100289,52,Male,Hyderabad,Salaried,2022-03-25,UPI Partner,60.7
100290,Customer_100290,55,Female,Pune,Retired,2022-05-06,Internet Banking,30.63
100291,Customer_100291,60,Female,Hyderabad,Student,2022-05-14,Branch,41.28
100292,Customer_100292,23,Male,Chennai,Self Employed,2023-03-21,Branch,64.69
100293,Customer_100293,27,Female,Pune,Retired,2022-07-19,Internet Banking,30.04
100294,Customer_100294,52,Male,Pune,Self Employed,2023-01-31,Branch,22.35
100295,Customer_100295,39,Male,Delhi,Salaried,2023-08-12,Branch,38.7
100296,Customer_100296,27,Male,Chennai,Self Employed,2022-07-24,UPI Partner,43.5
100297,Customer_100297,32,Female,Hyderabad,Salaried,2023-01-09,Branch,57.03
100298,Customer_100298,22,Male,Pune,Salaried,2022-02-25,Mobile App,56.9
100299,Customer_100299,23,Male,Bangalore,Self Employed,2024-01-13,Mobile App,36.03
100300,Customer_100300,55,Female,Hyderabad,Small Business,2023-10-10,Mobile App,32.05
100301,Customer_100301,63,Male,Hyderabad,Salaried,2023-03-20,Branch,73.36
100302,Customer_100302,22,Male,Chennai,Small Business,2024-01-14,Mobile App,52.67
100303,Customer_100303,49,Female,Ahmedabad,Salaried,2022-10-30,UPI Partner,53.44
100304,Customer_100304,57,Male,Delhi,Salaried,2022-06-14,UPI Partner,42.44
100305,Customer_100305,59,Female,Bangalore,Small Business,2022-01-19,Mobile App,54.98
100306,Customer_100306,39,Female,Kolkata,Self Employed,2023-10-04,UPI Partner,33.95
100307,Customer_100307,34,Female,Kolkata,Salaried,2022-01-12,UPI Partner,67.21
100308,Customer_100308,51,Female,Mumbai,Salaried,2022-09-25,Internet Banking,29.92
100309,Customer_100309,59,Male,Hyderabad,Salaried,2022-06-01,Mobile App,45.15
100310,Customer_100310,21,Male,Hyderabad,Self Employed,2023-08-26,Branch,64.76
100311,Customer_100311,44,Female,Delhi,Salaried,2023-05-28,Internet Banking,35.58
100312,Customer_100312,63,Female,Delhi,Salaried,2022-09-26,Mobile App,72.28
100313,Customer_100313,33,Female,Hyderabad,Self Employed,2024-02-13,Mobile App,53.42
100314,Customer_100314,43,Female,Mumbai,Retired,2022-01-10,Branch,43.74
100315,Customer_100315,60,Female,Pune,Salaried,2023-01-22,Internet Banking,9.42
100316,Customer_100316,25,Female,Pune,Salaried,2023-03-17,Branch,82.96
100317,Customer_100317,55,Male,Ahmedabad,Salaried,2023-06-22,Branch,67.36
100318,Customer_100318,32,Male,Delhi,Salaried,2023-02-27,UPI Partner,33.68
100319,Customer_100319,40,Female,Delhi,Salaried,2022-12-15,UPI Partner,49.46
100320,Customer_100320,37,Male,Hyderabad,Retired,2022-11-28,Branch,51.46
100321,Customer_100321,47,Male,Ahmedabad,Salaried,2022-02-09,Internet Banking,67.79
100322,Customer_100322,38,Male,Kolkata,Salaried,2023-07-28,UPI Partner,35.98
100323,Customer_100323,53,Female,Mumbai,Student,2024-02-08,Mobile App,48.8
100324,Customer_100324,39,Female,Mumbai,Salaried,2023-09-18,Mobile App,43.22
100325,Customer_100325,37,Male,Kolkata,Salaried,2023-09-02,UPI Partner,58.99
